STATE,LOCAL AUTHORITY AREA/ LOCAL COUNCIL,ALLIANCE - UMNO (VOTES),ALLIANCE - MCA (VOTES),ALLIANCE - MIC (VOTES),SF (VOTES),PMIP (VOTES),UDP (VOTES),PPP (VOTES),NEGARA (VOTES),INDEPENDENTS (VOTES),REJECTED BALLOT PAPERS,TOTAL ELECTORATE OF CONTESTED WARDS,ALLIANCE - UMNO (SEATS),ALLIANCE - MCA (SEATS),ALLIANCE - MIC (SEATS),SF (SEATS),PMIP (SEATS),UDP (SEATS),PPP (SEATS),NEGARA (SEATS),INDEPENDENT (SEATS),TOTAL LOCAL GOVERNMENT SEATS,WINNING COALITION/PARTY,NOTES
PERAK,LOCAL AUTHORITY AREA OF TAPAH,544,1096,644,,,,1325,,,33,2436,5,5,2,,,,,,,12,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF TELOK ANSON,999,4307,600,1698,,687,2101,,,62,13626,3,7,,,,,2,,,12,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF BENTONG,916,1812,,1837,,1222,,,213,98,7209,4,2,,5,,3,,,1,15,UDP-SF,
PAHANG,LOCAL AUTHORITY AREA OF KUALA LIPIS,283,223,,324,43,,,,,11,1327,5,5,1,1,,,,,,12,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF KUANTAN,1405,756,242,1283,,,,,,84,5434,7,7,1,,,,,,,15,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF RAUB,,1190,263,835,,,,,,36,2909,3,8,1,,,,,,,12,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,588,645,,734,,,,,178,38,2995,5,7,,1,,,,,1,14,ALLIANCE,
SELANGOR,LOCAL AUTHORITY AREA OF KLANG,3265,3648,1751,7337,,,3428,,1091,343,27718,3,2,2,4,,,,,1,12,ALLIANCE,
MALACCA,LOCAL AUTHORITY AREA OF ALOR GAJAH RURAL DISTRICT COUNCIL,10682,3534,,2562,3457,,,,,422,25422,14,5,,,,,,,,19,ALLIANCE,
MALACCA,LOCAL AUTHORITY AREA OF JASIN RURAL DISTRICT COUNCIL,7578,3012,930,3145,1475,,,,362,326,21175,11,3,1,,,,,,,15,ALLIANCE,
MALACCA,LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,9037,5553,,4187,997,544,,,,368,25656,11,8,,,,,,,,19,ALLIANCE,
MALACCA,LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,1840,6727,,9818,,227,288,,,264,23164,1,3,,8,,,,,,12,SF,
NEGRI SEMBILAN,LOCAL AUTHORITY AREA OF KUALA PILAH,207,462,266,210,,402,,,,67,2024,3,4,1,,,1,,,,9,ALLIANCE,
NEGRI SEMBILAN,LOCAL AUTHORITY AREA OF SEREMBAN,548,3354,644,3262,,3438,38,,2902,221,18549,1,4,,4,,4,,,2,15,UDP-SF,"For the mayor, SF will helm mayoral role from 1963 to 1964 and remainder of term mayoral position held by UDP"
JOHORE,LOCAL AUTHORITY AREA OF BANDAR MAHARANI,3389,3092,,4841,,469,258,,,221,17091,7,3,,2,,,,,,12,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF BANDAR PENGGARAM,2396,2231,213,2714,,3028,,,1593,160,14386,2,2,,4,,1,,,3,12,(NO CLEAR WINNER),
JOHORE,LOCAL AUTHORITY AREA OF JOHORE BAHRU,3187,3822,,5351,702,,,,,191,17484,6,4,,4,,,,,,14,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF KLUANG,1540,2794,,4015,,,,,1153,160,12570,3,1,,7,,,,,1,12,SF,
JOHORE,LOCAL AUTHORITY AREA OF KOTA TINGGI,377,441,115,463,,,,,298,21,2122,3,2,1,2,,,,,1,9,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF MERSING,,,,,,,,,,,,5,4,,,,,,,,9,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF PONTIAN,332,1014,,1016,,,,,,24,2746,3,4,,2,,,,,,9,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF SEGAMAT,683,1466,,787,,1315,,,,94,5214,4,3,,1,,1,,,,9,ALLIANCE,
