LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KANGAR,ARAU SELATAN WARD,ALLIANCE - MCA,CHEAH PENG SUM,,,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM (KUALA PERLIS) WARD,ALLIANCE - MCA,KAN SIN CHUAN,,,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,ALLIANCE - MIC,JARNAIL SINGH,MALE,,302,WON,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,INDEPENDENT,AHMAD BIN BAKAR,MALE,,201,LOST,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,REJECTED BALLOT PAPERS,,,,7,,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,TOTAL BALLOTS ISSUED,,,,510,,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,TOTAL ELECTORATE,,,,617,,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,TURNOUT (%),,,,82.6,,
LOCAL AUTHORITY AREA OF KANGAR,MESJID KANGAR WARD,INDEPENDENT,YAHYA BIN BAGINDA,MALE,,129,LOST,
LOCAL AUTHORITY AREA OF KANGAR,MESJID KANGAR WARD,ALLIANCE - UMNO,MOHD. ZAIN BIN SHAFFIEE,MALE,,137,WON,
LOCAL AUTHORITY AREA OF KANGAR,MESJID KANGAR WARD,REJECTED BALLOT PAPERS,,,,4,,
LOCAL AUTHORITY AREA OF KANGAR,MESJID KANGAR WARD,TOTAL BALLOTS ISSUED,,,,270,,
LOCAL AUTHORITY AREA OF KANGAR,MESJID KANGAR WARD,TOTAL ELECTORATE,,,,367,,
LOCAL AUTHORITY AREA OF KANGAR,MESJID KANGAR WARD,TURNOUT (%),,,,73.8,,
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,ALLIANCE - MCA,LIEW SHI TOO @ LIEW CHIN SIN,MALE,,160,WON,
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,INDEPENDENT,LIM KIM SAI @ LIM BOON SENG,,,95,LOST,
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,REJECTED BALLOT PAPERS,,,,1,,
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,TOTAL BALLOTS ISSUED,,,,256,,
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,TOTAL ELECTORATE,,,,379,,
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,TURNOUT (%),,,,67.5,,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,ALLIANCE - MCA,YEE KOK LIANG @ JEE KOH BENG,,,234,WON,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,INDEPENDENT,CHOOI YA BAH @ CHONG CHOOI BAH,MALE,,147,LOST,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,REJECTED BALLOT PAPERS,,,,4,,
