LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,TRANQUERAH WARD,SF,TEOH TECK LEONG,,,667,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,TRANQUERAH WARD,ALLIANCE - MCA,LIM CHENG HOON,MALE,,756,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,TRANQUERAH WARD,REJECTED BALLOT PAPERS,,,,20,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,TRANQUERAH WARD,TOTAL BALLOTS ISSUED,,,,1443,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,TRANQUERAH WARD,TOTAL ELECTORATE,,,,1741,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,TRANQUERAH WARD,TURNOUT (%),,,,82.9,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BONA VISTA WARD,SF,HASNUL BIN ABDUL HADI,MALE,,872,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BONA VISTA WARD,ALLIANCE - MCA,CHAN AH YIN,MALE,,829,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BONA VISTA WARD,REJECTED BALLOT PAPERS,,,,20,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BONA VISTA WARD,TOTAL BALLOTS ISSUED,,,,1721,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BONA VISTA WARD,TOTAL ELECTORATE,,,,2034,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BONA VISTA WARD,TURNOUT (%),,,,84.7,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,MATA KUCHING WARD,ALLIANCE - MCA,ONG TECK YONG,,,709,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,MATA KUCHING WARD,SF,CHUNG CHENG WEN,MALE,,979,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,MATA KUCHING WARD,REJECTED BALLOT PAPERS,,,,8,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,MATA KUCHING WARD,TOTAL BALLOTS ISSUED,,,,1696,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,MATA KUCHING WARD,TOTAL ELECTORATE,,,,1979,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,MATA KUCHING WARD,TURNOUT (%),,,,85.8,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,HEEREN STREET WARD,ALLIANCE - MCA,YOONG YONG POW,MALE,,691,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,HEEREN STREET WARD,SF,PANG SIOW MIEN,,,835,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,HEEREN STREET WARD,REJECTED BALLOT PAPERS,,,,20,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,HEEREN STREET WARD,TOTAL BALLOTS ISSUED,,,,1546,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,HEEREN STREET WARD,TOTAL ELECTORATE,,,,1888,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,HEEREN STREET WARD,TURNOUT (%),,,,82,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,PPP,HO KIM HIN,,,72,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,SF,PANG CHIN TONG,,,933,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,ALLIANCE - MCA,TANG PENG CHEE,MALE,,665,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,REJECTED BALLOT PAPERS,,,,32,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,TOTAL BALLOTS ISSUED,,,,1702,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,TOTAL ELECTORATE,,,,1976,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,KAMPONG HULU WARD,TURNOUT (%),,,,86,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,ALLIANCE - MCA,YONG AH CHAK,MALE,,691,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,UDP,ANG SAY TAKE,,,79,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,SF,KOO ENG KUANG,MALE,,1007,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,REJECTED BALLOT PAPERS,,,,38,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,TOTAL BALLOTS ISSUED,,,,1815,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,TOTAL ELECTORATE,,,,2185,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUNGA RAYA WARD,TURNOUT (%),,,,83,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,ST. PAUL WARD,ALLIANCE - MCA,SIM KIAH OH,,,714,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,ST. PAUL WARD,SF,TOO YENG JONG,,,759,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,ST. PAUL WARD,REJECTED BALLOT PAPERS,,,,17,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,ST. PAUL WARD,TOTAL BALLOTS ISSUED,,,,1490,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,ST. PAUL WARD,TOTAL ELECTORATE,,,,1918,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,ST. PAUL WARD,TURNOUT (%),,,,77,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,SF,MAH KHYE BOH,MALE,,1062,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,ALLIANCE - MCA,ONG HIN ENG,,,675,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,UDP,GEH THUAN CHOO,,,74,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,REJECTED BALLOT PAPERS,,,,26,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,TOTAL BALLOTS ISSUED,,,,1837,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,TOTAL ELECTORATE,,,,2263,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BUKIT CHINA WARD,TURNOUT (%),,,,81,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,DURIAN DAUN WARD,SF,THAMBY BIN HASSAN,MALE,,1042,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,DURIAN DAUN WARD,ALLIANCE - UMNO,LONGCHE BIN NAYAN,MALE,,839,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,DURIAN DAUN WARD,REJECTED BALLOT PAPERS,,,,38,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,DURIAN DAUN WARD,TOTAL BALLOTS ISSUED,,,,1919,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,DURIAN DAUN WARD,TOTAL ELECTORATE,,,,2418,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,DURIAN DAUN WARD,TURNOUT (%),,,,79,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BANDAR KABA WARD,ALLIANCE - MCA,TAN CHOO CHAI,MALE,,997,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BANDAR KABA WARD,SF,THANGASAMY,MALE,,978,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BANDAR KABA WARD,REJECTED BALLOT PAPERS,,,,23,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BANDAR KABA WARD,TOTAL BALLOTS ISSUED,,,,1998,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BANDAR KABA WARD,TOTAL ELECTORATE,,,,2397,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,BANDAR KABA WARD,TURNOUT (%),,,,83,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND FORT OF MALACCA,UJONG PASIR WARD,UDP,SAYID ABDULLAH  BIN AHMAD ALAI DROES,MALE,,74,LOST DEPOSIT,
