LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,PMIP,KHADIJAH BTI. MOHD. SIDIK,FEMALE,,702,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,ALLIANCE - UMNO,RAHMAT BIN HJ. IDRIS,MALE,,1172,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,REJECTED BALLOT PAPERS,,,,33,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,TOTAL BALLOTS ISSUED,,,,1907,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,TOTAL ELECTORATE,,,,2754,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,TURNOUT (%),,,,69,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,ALLIANCE - MCA,LEE TECK CHIANG,,,963,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,SF,HAMZAH BIN MOHD. YASSIN,MALE,,806,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,REJECTED BALLOT PAPERS,,,,30,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,TOTAL BALLOTS ISSUED,,,,1799,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,TOTAL ELECTORATE,,,,2260,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,TURNOUT (%),,,,79.58,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,YAHYA AWAL WARD,ALLIANCE - UMNO,ABD. AZIZ BIN MOHD. IBRAHIM,MALE,,576,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,YAHYA AWAL WARD,SF,RAMAN S/O KRISHNA NAIR,MALE,,749,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,YAHYA AWAL WARD,REJECTED BALLOT PAPERS,,,,13,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,YAHYA AWAL WARD,TOTAL BALLOTS ISSUED,,,,1338,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,YAHYA AWAL WARD,TOTAL ELECTORATE,,,,1892,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,YAHYA AWAL WARD,TURNOUT (%),,,,70,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,WADI HANA WARD,ALLIANCE - UMNO,SYED JAAFAR BIN ALWEE,MALE,,792,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,WADI HANA WARD,SF,HASSAN BIN IBRAHIM,MALE,,631,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,WADI HANA WARD,REJECTED BALLOT PAPERS,,,,25,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,WADI HANA WARD,TOTAL BALLOTS ISSUED,,,,1448,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,WADI HANA WARD,TOTAL ELECTORATE,,,,2020,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,WADI HANA WARD,TURNOUT (%),,,,71.6,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,NGEE HENG WARD,ALLIANCE - MCA,LIM ENG TONG,,,739,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,NGEE HENG WARD,SF,HON KIN SIONG,,,483,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,NGEE HENG WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,NGEE HENG WARD,TOTAL BALLOTS ISSUED,,,,1237,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,NGEE HENG WARD,TOTAL ELECTORATE,,,,1237,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,NGEE HENG WARD,TURNOUT (%),,,,72,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BUKIT CHAGAR WARD,SF,RUSLAN SHARIF,MALE,,326,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BUKIT CHAGAR WARD,ALLIANCE - UMNO,KALIHUM BTI. ALI,FEMALE,,647,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BUKIT CHAGAR WARD,REJECTED BALLOT PAPERS,,,,16,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BUKIT CHAGAR WARD,TOTAL BALLOTS ISSUED,,,,989,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BUKIT CHAGAR WARD,TOTAL ELECTORATE,,,,1413,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BUKIT CHAGAR WARD,TURNOUT (%),,,,69.99,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,STULANG WARD,SF,PANG LEE SENG,,,435,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,STULANG WARD,ALLIANCE - MCA,TEO AH KHIANG,,,507,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,STULANG WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,STULANG WARD,TOTAL BALLOTS ISSUED,,,,957,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,STULANG WARD,TOTAL ELECTORATE,,,,1266,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,STULANG WARD,TURNOUT (%),,,,75.6,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,AYER MOLEK WARD,SF,KHAW TONG HOW,,,468,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,AYER MOLEK WARD,ALLIANCE - MCA,LAW LAI HENG,,,669,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,AYER MOLEK WARD,REJECTED BALLOT PAPERS,,,,16,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,AYER MOLEK WARD,TOTAL BALLOTS ISSUED,,,,1153,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,AYER MOLEK WARD,TOTAL ELECTORATE,,,,1611,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,AYER MOLEK WARD,TURNOUT (%),,,,71.57,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG PAHANG WARD,ALLIANCE - MCA,LIEW BOON SENG,,,402,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG PAHANG WARD,SF,TAN KAI HEE,MALE,,701,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG PAHANG WARD,REJECTED BALLOT PAPERS,,,,17,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG PAHANG WARD,TOTAL BALLOTS ISSUED,,,,1120,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG PAHANG WARD,TOTAL ELECTORATE,,,,1415,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG PAHANG WARD,TURNOUT (%),,,,79.15,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BANDAR WARD,SF,C.C. YONG,,,752,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BANDAR WARD,ALLIANCE - MCA,GOH POEY HIANG,,,542,LOST,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BANDAR WARD,REJECTED BALLOT PAPERS,,,,11,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BANDAR WARD,TOTAL BALLOTS ISSUED,,,,1305,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BANDAR WARD,TOTAL ELECTORATE,,,,1616,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BANDAR WARD,TURNOUT (%),,,,80.75,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,ULU AYER MOLEK WARD,SF,IBRAHIM BIN A. RAZAK,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF JOHORE BAHRU,TAMBATAN WARD,ALLIANCE - UMNO,ROHANY BTI. HJ. A. LATIFF,FEMALE,,,WON,Y
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG BAHRU WARD,ALLIANCE - UMNO,SANUDIN BIN ABDUL MANAS,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF JOHORE BAHRU,GERTAK MERAH WARD,ALLIANCE - UMNO,ABU BIN ABD. MANAN,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,SABAK AWOR WARD,UDP,HJ. HARON BIN AHMAD,MALE,,162,LOST,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,SABAK AWOR WARD,ALLIANCE - UMNO,HJ. MOHAMAD NOOR BIN HJ. ADAM,MALE,,594,WON,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,SABAK AWOR WARD,REJECTED BALLOT PAPERS,,,,26,,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,SABAK AWOR WARD,TOTAL BALLOTS ISSUED,,,,782,,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,SABAK AWOR WARD,TOTAL ELECTORATE,,,,1490,,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,SABAK AWOR WARD,TURNOUT (%),,,,81.3,,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,TEMENGGONG AHMAD WARD,ALLIANCE - UMNO,HAJI AB. GHANI BIN HJ. KASSIM,MALE,,682,WON,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,TEMENGGONG AHMAD WARD,SF,AB. GHANI BIN HASHIM,MALE,,482,LOST,
LOCAL AUTHORITY AREA OF BANDAR MAHARANI,TEMENGGONG AHMAD WARD,REJECTED BALLOT PAPERS,,,,23,,
