LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,NEGARA,MOHAMED BIN KUDIN,MALE,,527,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,ALLIANCE - UMNO,MOKHTAR BIN ABDULLAH,MALE,,495,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,REJECTED BALLOT PAPERS,,,,12,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,TOTAL BALLOTS ISSUED,,,,1034,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,TOTAL ELECTORATE,,,,1446,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,TURNOUT (%),,,,70.6,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,INDEPENDENT,CHE NGAH OTHMAN BIN HJ. TAIB,MALE,,48,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,NEGARA,GARIEB BIN ABDUL RAOUF,MALE,,742,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,ALLIANCE - UMNO,MAHMOOD BIN ALI,MALE,,474,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,REJECTED BALLOT PAPERS,,,,14,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,TOTAL BALLOTS ISSUED,,,,1278,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,TOTAL ELECTORATE,,,,1706,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PANTAI TRENGGANU WARD,TURNOUT (%),,,,74,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,ALLIANCE - UMNO,ABDUL JALIL BIN MAHMUD,MALE,,351,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,INDEPENDENT,MOHD. ALI BIN HJ. AWANG OMAR,MALE,,52,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,NEGARA,MOHD. NOOR BIN ISMAIL,MALE,,520,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,REJECTED BALLOT PAPERS,,,,9,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,TOTAL BALLOTS ISSUED,,,,932,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,TOTAL ELECTORATE,,,,1435,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PAYA BUNGA WARD,TURNOUT (%),,,,63.4,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LADANG WARD,SF,IDRIS BIN MAHMUD,MALE,,47,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LADANG WARD,NEGARA,ABDUL WAHAB BIN YUSOF,MALE,,621,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LADANG WARD,ALLIANCE - UMNO,HASHIM BIN AWANG,MALE,,297,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LADANG WARD,REJECTED BALLOT PAPERS,,,,7,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LADANG WARD,TOTAL BALLOTS ISSUED,,,,972,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LADANG WARD,TOTAL ELECTORATE,,,,1407,,
