LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,PPP,LIM CHOO CHYE,MALE,,358,LOST,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,SF,NG AH PEE,MALE,,552,LOST,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,ALLIANCE - MCA,WONG TAI MOOI,MALE,,647,WON,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,REJECTED BALLOT PAPERS,,,,29,,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,TOTAL BALLOTS ISSUED,,,,1586,,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,TOTAL ELECTORATE,,,,1959,,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,TURNOUT (%),,,,80.9,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,PPP,FUNG AH CHAT,MALE,,499,LOST,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,ALLIANCE - UMNO,MD. SAAD BIN YAHAYA,MALE,,200,LOST,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,INDEPENDENT,LOO TECK ENG,MALE,,659,WON,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,REJECTED BALLOT PAPERS,,,,19,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,TOTAL BALLOTS ISSUED,,,,1377,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,TOTAL ELECTORATE,,,,1657,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,TURNOUT (%),,,,83.1,,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,ALLIANCE - MCA,WONG FOO THAI,MALE,,811,LOST,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,SF,ONG YEAN SIR,FEMALE,26,863,WON,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,PPP,CHEW JOO KONG,MALE,,660,LOST,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,REJECTED BALLOT PAPERS,,,,35,,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,TOTAL BALLOTS ISSUED,,,,2369,,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,TOTAL ELECTORATE,,,,3182,,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,TURNOUT (%),,,,74.4,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI KLANG WARD,ALLIANCE - UMNO,HAJI MOHAMAD BIN HJ. THAMBY,MALE,,546,LOST,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI KLANG WARD,SF,TEW BOON CHIN,MALE,,1150,WON,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI KLANG WARD,PPP,RAJAGOPAL S/O VELLOO,MALE,,375,LOST,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI KLANG WARD,REJECTED BALLOT PAPERS,,,,29,,
