LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK UTARA WARD,ALLIANCE - MCA,WONG KAUN TAI,,,280,WON,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK UTARA WARD,SF,HEE KENG YONG,,,255,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK UTARA WARD,REJECTED BALLOT PAPERS,,,,14,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK UTARA WARD,TOTAL BALLOTS ISSUED,,,,549,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK UTARA WARD,TOTAL ELECTORATE,,,,789,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK UTARA WARD,TURNOUT (%),,,,69.6,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TIMOR WARD,SF,MOHD. KAMEIL BIN TO'MUDA HJ. IBRAHIM,MALE,,193,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TIMOR WARD,ALLIANCE - UMNO,TAJUDDIN BIN CHIK,MALE,,218,WON,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TIMOR WARD,REJECTED BALLOT PAPERS,,,,11,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TIMOR WARD,TOTAL BALLOTS ISSUED,,,,422,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TIMOR WARD,TOTAL ELECTORATE,,,,700,,
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TIMOR WARD,TURNOUT (%),,,,60.3,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TENGAH WARD,SF,ABU BAKAR BIN YAAKOB,MALE,,50,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TENGAH WARD,ALLIANCE - UMNO,MOHAMED ALI BIN TAHIR,MALE,,298,WON,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TENGAH WARD,REJECTED BALLOT PAPERS,,,,9,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TENGAH WARD,TOTAL BALLOTS ISSUED,,,,357,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TENGAH WARD,TOTAL ELECTORATE,,,,550,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TENGAH WARD,TURNOUT (%),,,,64.9,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN SELATAN WARD,ALLIANCE - MCA,PHUA CHENG LEONG,,,281,WON,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN SELATAN WARD,SF,CHEONG CHOOI YAN,,,102,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN SELATAN WARD,REJECTED BALLOT PAPERS,,,,12,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN SELATAN WARD,TOTAL BALLOTS ISSUED,,,,395,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN SELATAN WARD,TOTAL ELECTORATE,,,,530,,
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN SELATAN WARD,TURNOUT (%),,,,74.5,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR UTARA WARD,ALLIANCE - UMNO,HJ. A. AZIZ BIN AHMAD,MALE,,281,WON,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR UTARA WARD,SF,MOHD. SHAM BIN AWANG,MALE,,131,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR UTARA WARD,REJECTED BALLOT PAPERS,,,,13,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR UTARA WARD,TOTAL BALLOTS ISSUED,,,,425,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR UTARA WARD,TOTAL ELECTORATE,,,,588,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR UTARA WARD,TURNOUT (%),,,,72.3,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TENGAH WARD,SF,ABBAS BIN ABDUL RAHMAN,MALE,,144,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TENGAH WARD,ALLIANCE - UMNO,A SAMAD BIN ALI,MALE,,347,WON,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TENGAH WARD,REJECTED BALLOT PAPERS,,,,8,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TENGAH WARD,TOTAL BALLOTS ISSUED,,,,499,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TENGAH WARD,TOTAL ELECTORATE,,,,667,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TENGAH WARD,TURNOUT (%),,,,74.8,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TIMOR WARD,ALLIANCE - MIC,E.J. JOHNSON,MALE,,242,WON,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TIMOR WARD,SF,ARUMUGAM,MALE,,89,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TIMOR WARD,REJECTED BALLOT PAPERS,,,,5,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TIMOR WARD,TOTAL BALLOTS ISSUED,,,,336,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TIMOR WARD,TOTAL ELECTORATE,,,,460,,
LOCAL AUTHORITY AREA OF KUANTAN,DARAT MAKBAR TIMOR WARD,TURNOUT (%),,,,73,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH BARAT WARD,SF,ABU OSMAN BIN TAHIR,MALE,,148,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH BARAT WARD,ALLIANCE - UMNO,A HAMID BIN HJ LATIF,MALE,,261,WON,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH BARAT WARD,REJECTED BALLOT PAPERS,,,,7,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH BARAT WARD,TOTAL BALLOTS ISSUED,,,,416,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH BARAT WARD,TOTAL ELECTORATE,,,,582,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH BARAT WARD,TURNOUT (%),,,,71.5,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH TIMOR WARD,SF,LIM AH TEE @ LIM HING YONG,,,171,LOST,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH TIMOR WARD,ALLIANCE - MCA,KONG SIEW HICK,,,195,WON,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH TIMOR WARD,REJECTED BALLOT PAPERS,,,,5,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH TIMOR WARD,TOTAL BALLOTS ISSUED,,,,371,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH TIMOR WARD,TOTAL ELECTORATE,,,,568,,
LOCAL AUTHORITY AREA OF KUANTAN,TANAH PUTEH TIMOR WARD,TURNOUT (%),,,,65.3,,
LOCAL AUTHORITY AREA OF KUANTAN,BUKIT UBI BARAT WARD,ALLIANCE - MCA,LIM CHIN HUI,,,,WON,Y
LOCAL AUTHORITY AREA OF KUANTAN,BUKIT UBI TIMOR WARD,ALLIANCE - UMNO,MUSA BIN ABDUL RAHMAN,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK TENGAH WARD,ALLIANCE - MCA,CHIAM HAI SAI,,,,WON,Y
LOCAL AUTHORITY AREA OF KUANTAN,TELOK SISEK SELATAN WARD,ALLIANCE - UMNO,MAHIMON BINTI HARUN,FEMALE,,,WON,Y
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN BARAT WARD,ALLIANCE - MCA,TAN YAK LAN,,,,WON,Y
LOCAL AUTHORITY AREA OF KUANTAN,BANDAR KUANTAN TIMOR WARD,ALLIANCE - MCA,CHAN KWANG CHEK,,,,WON,Y
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI RABIT WARD,SF,MOHAMAD BIN YAACOB,MALE,,46,LOST,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI RABIT WARD,ALLIANCE - MCA,HO KWANG SANG,,,86,WON,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI RABIT WARD,REJECTED BALLOT PAPERS,,,,3,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI RABIT WARD,TOTAL BALLOTS ISSUED,,,,135,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI RABIT WARD,TOTAL ELECTORATE,,,,213,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI RABIT WARD,TURNOUT (%),,,,63.4,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SEMANTAN WARD,SF,JAAFAR BIN HUSSIN,MALE,,90,LOST,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SEMANTAN WARD,ALLIANCE - UMNO,YUSOF BIN MOHD. ALI,MALE,,127,WON,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SEMANTAN WARD,REJECTED BALLOT PAPERS,,,,5,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SEMANTAN WARD,TOTAL BALLOTS ISSUED,,,,222,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SEMANTAN WARD,TOTAL ELECTORATE,,,,284,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SEMANTAN WARD,TURNOUT (%),,,,78.2,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,LUBOK PASU WARD,INDEPENDENT,ABDUL MOIN BIN HJ. TAIB,MALE,,39,LOST,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,LUBOK PASU WARD,ALLIANCE - UMNO,HASSAN BIN OMAR,MALE,,111,WON,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,LUBOK PASU WARD,REJECTED BALLOT PAPERS,,,,1,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,LUBOK PASU WARD,TOTAL BALLOTS ISSUED,,,,151,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,LUBOK PASU WARD,TOTAL ELECTORATE,,,,271,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,LUBOK PASU WARD,TURNOUT (%),,,,55.7,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN BARAT WARD,INDEPENDENT,R. SUPPIAH,MALE,,50,LOST,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN BARAT WARD,ALLIANCE - UMNO,ARSHAD BIN HJ. HASSAN,MALE,,80,WON,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN BARAT WARD,REJECTED BALLOT PAPERS,,,,1,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN BARAT WARD,TOTAL BALLOTS ISSUED,,,,131,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN BARAT WARD,TOTAL ELECTORATE,,,,161,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN BARAT WARD,TURNOUT (%),,,,81.4,,
LOCAL AUTHORITY AREA OF TEMERLOH & MENTEKAB,SUNGEI SEMANTAN TIMOR WARD,INDEPENDENT,DARUS BIN HASHIM,MALE,,89,WON,
