LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,ALLIANCE - UMNO,TUAN SHEIKH HUSSIN BIN SHEIKH ALI,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,ALLIANCE - MIC,KARUPPIAH S/O ADAIKALAM SERVAI,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,ALLIANCE - UMNO,ABDULLAH BIN HAJI HASSAN,MALE,,759,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,SF - LABOUR,LIM SIAN LOK (née) QUAN SEOW LIN,FEMALE,,314,LOST,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,TOTAL REJECTED BALLOT PAPERS,,,,27,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,TOTAL ELECTORS,,,,1376,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,ALLIANCE - MCA,CHAN KEONG HON,MALE,,1597,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,PPP,CHEW CHOO SOOT,MALE,,1095,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,SF,GAN YONG MING,,,1055,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,TOTAL REJECTED BALLOT PAPERS,,,,27,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,TOTAL ELECTORS,,,,6441,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,ALLIANCE - MCA,LAW JOO KOOI,MALE,,1244,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,PPP,LUM KIN TUCK,MALE,,742,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,SF,AMERICK SINGH GILL,MALE,,482,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,77,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL ELECTORS,,,,5243,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,ALLIANCE - UMNO,ENCHOM BINTI HAJI ZAINUDDIN,FEMALE,,1652,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,SF,AHMAD BIN DAUD,MALE,,1069,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,TOTAL REJECTED BALLOT PAPERS,,,,30,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,TOTAL ELECTORS,,,,6329,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,SF,S. S. NAYAGAM,MALE,,1496,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,ALLIANCE - MIC,K. GURUPATHAM,MALE,,1349,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,67,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL ELECTORS,,,,5225,,
