LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL REJECTED BALLOT PAPERS,,,25,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL ELECTORS,,,4750,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,PPP,KHONG KOK YAT,MALE,,1906,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,ALLIANCE - MCA,CHAN KOK CHEONG,MALE,,1022,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,LEONG AH KOW,MALE,,160,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL REJECTED BALLOT PAPERS,,,28,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL ELECTORS,,,5522,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,PPP,C.H. YIN,MALE,,1625,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - UMNO,LAILY MARIAM BINTI SULAIMAN,FEMALE,,1015,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,MOHAMED YUSOFF BIN HAJI SAMAD,MALE,,174,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL REJECTED BALLOT PAPERS,,,38,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL ELECTORS,,,4776,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,ALLIANCE - UMNO,CHE' HALIMAH BINTI ABDULLAH,FEMALE,35,233,WON,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,SF - PRM,CHE' ABDUL KADER BIN MAT RAWI,MALE,47,160,LOST,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,TOTAL REJECTED BALLOT PAPERS,,,13,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,TOTAL ELECTORS,,,487,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,ALLIANCE - UMNO,GOH KIM SENG,MALE,34,234,WON,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,SF - PRM,ONG YOKE WAH,MALE,35,144,LOST,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,,TOTAL REJECTED BALLOT PAPERS,,,21,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,,TOTAL ELECTORS,,,487,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,ALLIANCE - MCA,CHIN LENG,MALE,,297,WON,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,SF - PRM,TAN BOON JIN,MALE,42,231,LOST,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,,TOTAL REJECTED BALLOT PAPERS,,,31,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,,TOTAL ELECTORS,,,653,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,ALLIANCE - MCA,HOR SENG,MALE,,353,WON,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,PPP,TAN GUAN SENG @ TAN GUAN HUAT,MALE,54,52,LOST,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,,TOTAL REJECTED BALLOT PAPERS,,,7,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,,TOTAL ELECTORS,,,492,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,KAMPONG DATOH,ALLIANCE - MCA,NG ENG HOE,MALE,47,260,WON,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,KAMPONG DATOH,PMIP,ZAN ABU KASSIN BIN HAJI HASHIM,MALE,30,89,LOST,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,KAMPONG DATOH,,TOTAL REJECTED BALLOT PAPERS,,,2,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,KAMPONG DATOH,,TOTAL ELECTORS,,,477,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,TEMOH ROAD,ALLIANCE - MIC,PONNUSAMY PILLAI S/O VYAYAPURI PILLAI,MALE,36,276,WON,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,TEMOH ROAD,PPP,JOHN VEDAMUTHU DARAMAKKAN MOSES,MALE,60,84,LOST,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,TEMOH ROAD,,TOTAL REJECTED BALLOT PAPERS,,,3,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,TEMOH ROAD,,TOTAL ELECTORS,,,459,,
