LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
KUALA KANGSAR TOWN COUNCIL,BY-ELECTION,IDRIS,,YAP HOCK SUN,MALE,33,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KENAS,ALLIANCE - MIC,FATEH SINGH S/O INDER SINGH,MALE,40,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KANGSAR,ALLIANCE - UMNO,MOHAMED NOORDIN BIN HAJI BAHARUDDIN,MALE,58,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,IDRIS,ALLIANCE - UMNO,ABDUL LATIFF BIN ALANG AHMAD,MALE,40,,WON,Y
TELOK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - UMNO,MOHAMED RAZALLI BIN AHMAD TASIR,MALE,53,,WON,Y
TELOK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,ALLIANCE - UMNO,CHE' SOM BINTI ABDULLAH,FEMALE,33,,WON,Y
TELOK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - MIC,R. GOVINDASAMY,MALE,36,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,NORTH,ALLIANCE - MCA,TAN BENG LEE,MALE,39,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,SOUTH,ALLIANCE - MCA,WONG KENG WAI,MALE,43,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,CENTRAL,ALLIANCE - UMNO,AIYUB GHAZALI BIN ABAS,MALE,50,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,ALLIANCE - UMNO,RAJA BAAYAH BINTI RAJA YAACOB,FEMALE,,425,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,LABOUR,PHO KIM CHIANG,MALE,30,296,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,INDEPENDENT - SMOKE PIPE,HAJI MOHAMED TAHIR BIN HAJI ABDUL RAUF,MALE,,170,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL REJECTED BALLOT PAPERS,,,103,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL ELECTORS,,,1842,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,ALLIANCE - UMNO,MOHD. ISMAIL BIN HAJI ABDULLAH,MALE,53,612,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,LABOUR,KRISHNAN N.M.,MALE,28,335,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,TOTAL REJECTED BALLOT PAPERS,,,22,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,TOTAL ELECTORS,,,1844,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TOWN,ALLIANCE,PASQUAL EDWARD FERDINAND,MALE,53,678,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TOWN,LABOUR,NG GUAN LENG,MALE,,424,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TOWN,,TOTAL REJECTED BALLOT PAPERS,,,30,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TOWN,,TOTAL ELECTORS,,,1841,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,ALLIANCE - MCA,KEE CHENG HOE,MALE,,631,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,ALLIANCE,MANECKSHA RUSTIM,MALE,50,589,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,ALLIANCE - MCA,NG SAY CHOON,MALE,,563,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,LABOUR,HWANG LEE HWA,FEMALE,,438,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,LABOUR,HO RICHARD,MALE,,435,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,LABOUR,MARKANDU S/O THURAIAPPA,MALE,45,423,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,,TOTAL REJECTED BALLOT PAPERS,,,26,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,TUPAI,,TOTAL ELECTORS,,,1843,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,PPP,HOR HOCK LUNG,MALE,,1566,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - MCA,TOO JOON TING,MALE,,1195,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,S. NALLIAH,MALE,,133,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,NG AH LENG,MALE,,63,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL REJECTED BALLOT PAPERS,,,27,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL ELECTORS,,,5009,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,PPP,CHOY KOK KUAN,MALE,,2175,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - MCA,LEE KOON VOON,MALE,,905,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,LEAN CHOR KOW,MALE,,125,LOST,
