LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,ALLIANCE - MIC,,AMULAKH MOHANLAL DOSHI
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,INDEPENDENT,PERAMBULATOR,D. O. K. B.  ABDUL JALIL
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,ALLIANCE - MCA,MALAY HOUSE,HO HONG YEOW
TOWN COUNCIL OF KUALA PILAH,PEKAN LAMA,ALLIANCE - UMNO,,CHE MA'AROF BIN ALI
TOWN COUNCIL OF SEREMBAN,LAKE,ALLIANCE - MCA,ANCHOR,HAN HUI FONG
TOWN COUNCIL OF SEREMBAN,LAKE,SF,BUS,RAMACHANDRAN NAVARATNAM
TOWN COUNCIL OF SEREMBAN,LOBAK,ALLIANCE - MCA,KEY,CHEAH YEN KWEE
TOWN COUNCIL OF SEREMBAN,LOBAK,SF,CHANGKOL,CHEW TOH SENG
TOWN COUNCIL OF SEREMBAN,LOBAK,INDEPENDENT,FOWL,ONG AH SAI
TOWN COUNCIL OF SEREMBAN,RAHANG,ALLIANCE - UMNO,MOTOR CYCLE,JAMALUDIN BIN AJI
TOWN COUNCIL OF SEREMBAN,RAHANG,SF - LABOUR,RADIO,P. GURNAM SINGH GILL
TOWN COUNCIL OF SEREMBAN,TEMIANG,ALLIANCE - MCA,STEAMER,LAM TECK CHOON
TOWN COUNCIL OF SEREMBAN,TEMIANG,SF,TEA POT,LIN AH CHONG
