LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,BENTONG TOWN WARD,ALLIANCE - MCA,KONG THAM FATT,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - UMNO,HAJI JAMIL BIN HAJI LARIS,MALE,,223,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,LABOUR,BASIR BIN MAT,MALE,,160,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - MIC,RANGI JAGIR BAGGA SINGH,MALE,,152,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,,TOTAL REJECTED BALLOT PAPERS,,,6,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,,TOTAL ELECTORS,,,417,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,ALLIANCE - UMNO,CHE AWANG BIN TO' MUDA MAT ZIN,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,INDEPENDENT,TOH WAI THENG,MALE,,212,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,ALLIANCE - MCA,CHIN YOOK TOONG,MALE,,57,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,,TOTAL REJECTED BALLOT PAPERS,,,9,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,,TOTAL ELECTORS,,,318,,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TANAH PUTEH WARD,ALLIANCE - UMNO,CHE' MAHIMON BINTI HARUN,FEMALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,ALLIANCE - MCA,CHIAM HAI SAI,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TELUK SISEK WARD,ALLIANCE - UMNO,CHE' MOHD. ALI BIN TAHIR,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,R.A.G.M. WARD,ALLIANCE - MCA,TI CHENG KIEN,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,TANJONG GADONG WARD,ALLIANCE - MCA,SAW SIM HOCK,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,SEMPALIT WARD,ALLIANCE - MCA,TAN LIEW THONG,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,ALLIANCE - MCA,TI CHENG KENG,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,TOWN WARD,INDEPENDENT,TAN KUNG CHUAN,,,404,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,TOWN WARD,ALLIANCE - MCA,CHOW CHEE SANG,,,316,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,TOWN WARD,,TOTAL REJECTED BALLOT PAPERS,,,44,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,TOWN WARD,,TOTAL ELECTORS,,,1082,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,LABOUR,BASIR BIN MAT,MALE,,273,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - UMNO,MOHD. LIKI BIN IMAM ISA,MALE,,264,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,,TOTAL REJECTED BALLOT PAPERS,,,57,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,,TOTAL ELECTORS,,,754,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,ALLIANCE - MCA,WONG YOON CHONG,,,300,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,INDEPENDENT,CHIN YOOK TOONG,,,180,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,LABOUR,TAJUDIN BIN SAMJIS,MALE,,166,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,,TOTAL REJECTED BALLOT PAPERS,,,31,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,,TOTAL ELECTORS,,,1082,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,INDEPENDENT,NG SEH HING,,,849,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,ALLIANCE - MCA,LEOW LIEW MIN,,,343,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,,TOTAL REJECTED BALLOT PAPERS,,,28,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,,TOTAL ELECTORS,,,1620,,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH NORTH WARD,ALLIANCE - MCA,GOH ANN J.P.,MALE,,267,,
