LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,ALLIANCE - MIC,AMULAKH MOHANLAL DOSHI,MALE,,,WON,Y
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,ALLIANCE - MCA,HO HONG YEOW,MALE,43,334,WON,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,INDEPENDENT,D. O. K. B.  ABDUL JALIL,MALE,,134,LOST,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,,TOTAL REJECTED BALLOT PAPERS,,,7,,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,,TOTAL ELECTORS,,,546,,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,PEKAN LAMA,ALLIANCE - UMNO,CHE MA'AROF BIN ALI,MALE,,,WON,Y
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,ALLIANCE - MCA,HAN HUI FONG,MALE,,861,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,SF,RAMACHANDRAN NAVARATNAM,MALE,,308,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL REJECTED BALLOT PAPERS,,,32,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL ELECTORS,,,1900,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,INDEPENDENT,ONG AH SAI,MALE,,958,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,SF,CHEW TOH SENG,MALE,,691,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,ALLIANCE - MCA,CHEAH YEN KWEE,MALE,,284,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL REJECTED BALLOT PAPERS,,,48,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL ELECTORS,,,2699,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,SF - LABOUR,P. GURNAM SINGH GILL,MALE,32,819,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,ALLIANCE - UMNO,JAMALUDIN BIN AJI,MALE,,662,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL REJECTED BALLOT PAPERS,,,33,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL ELECTORS,,,2445,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,ALLIANCE - MCA,LAM TECK CHOON,MALE,,470,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,SF,LIN AH CHONG,MALE,,457,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL REJECTED BALLOT PAPERS,,,9,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL ELECTORS,,,1515,,
