LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
KLANG TOWN COUNCIL,KLANG NORTH,ALLIANCE - MCA,,CHAN PENG HONG
KLANG TOWN COUNCIL,KLANG NORTH,ALLIANCE - MCA,,KOH LIANG SIH
KLANG TOWN COUNCIL,KLANG NORTH,ALLIANCE - UMNO,,MUSTAKIM BIN AHMAD
KLANG TOWN COUNCIL,KLANG SOUTH,ALLIANCE - MCA,RADIO,LEE ENG TEH
KLANG TOWN COUNCIL,KLANG SOUTH,ALLIANCE - UMNO,SCISSORS,MOHAMED YAMIN BIN ABDUL KADIR
KLANG TOWN COUNCIL,KLANG SOUTH,ALLIANCE - UMNO,HAT,RAJA IBRAHIM BIN RAJA ABDUL JALIL
KLANG TOWN COUNCIL,KLANG SOUTH,INDEPENDENT,AXE,CHEONG JIN HOE
KLANG TOWN COUNCIL,KLANG SOUTH,INDEPENDENT,CHAIR,A.SIVANATHAN
KLANG TOWN COUNCIL,PORT SWETTENHAM,ALLIANCE - MCA,KETTLE,NG SOON HUAT
KLANG TOWN COUNCIL,PORT SWETTENHAM,ALLIANCE - UMNO,TENNIS RACKET,MOHD. SALLEH BIN HUSSAIN
KLANG TOWN COUNCIL,PORT SWETTENHAM,ALLIANCE - UMNO,FISH,SHAMSUDIN BIN HAJI HAMID
KLANG TOWN COUNCIL,PORT SWETTENHAM,PARTY NEGARA,AEROPLANE,MUHAMMED DARUS BIN K. AHMAD
MUNICIPALITY OF KUALA LUMPUR,IMBI,ALLIANCE - MCA,,CHAN CHEE HONG
MUNICIPALITY OF KUALA LUMPUR,SENTUL,ALLIANCE - UMNO,,CHE ABDULLAH BIN HAJI MOHD. YASSIN
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,ALLIANCE - MIC,MOTOR CYCLE,KANDASAMY GURUPATHAM
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,INDEPENDENT,PLATE,S.C.E. SINGAM
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,INDEPENDENT,PIPE,T. R. P. DAWSON
MUNICIPALITY OF KUALA LUMPUR,PETALING,ALLIANCE - MCA,CLOCK,GUNN CHIT WHA
MUNICIPALITY OF KUALA LUMPUR,PETALING,LABOUR,CHAIR,LAWRENCE H. C. HUANG @ WONG HON CHONG
