LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,ALLIANCE - MCA,SOO AH KHENG,MALE,,1239,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,ALLIANCE - UMNO,MOKHTAR BIN HAJI ABD. MANAP,MALE,,1199,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,ALLIANCE - MCA,TAN KHAY THUAN,MALE,,1186,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,NAP,RUSTIM MANECKSHA,MALE,,776,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,NAP,KEE CHENG HOE,MALE,,770,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,NAP,ELIATHAMBY KARALAPILLAI,MALE,,762,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,,TOTAL REJECTED BALLOT PAPERS,,,43,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,2078,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BOOKS,,,522,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,2600,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAUH,,TOTAL ELECTORS,,,2438,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,ALLIANCE - MCA,CHEAH KHAY CHUAN,MALE,,1304,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,ALLIANCE - UMNO,ABD. RAHMAN BIN ABDULLAH,MALE,,1283,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,ALLIANCE - UMNO,MUSTAPHA BIN HAJI HUSSAIN,MALE,,1195,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,NAP,ONG HOCK SIM,MALE,,585,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,NAP,ABD. HAMID BIN ABD. LATIFF,MALE,,520,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,NAP,MOHD. YUSSOFF BIN SHAHBANDAR OSMAN,MALE,,462,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,LABOUR,SINNADURAI ARASARADNAM,MALE,,316,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL REJECTED BALLOT PAPERS,,,32,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1984,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BOOKS,,,514,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL SPOILED BALLOT PAPERS,,,2,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,2500,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL ELECTORS,,,2387,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,ALLIANCE - MCA,LEE KIM LOON,MALE,,1167,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,NAP,OON CHONG EONG,MALE,,1164,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,ALLIANCE - MCA,ONG KAH HOOI,MALE,,1092,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,NAP,PEH GIONG HONG,MALE,,539,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,NAP,WONG KENG KO,MALE,,534,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,NAP,ONG CHEAN KEE,MALE,,500,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL REJECTED BALLOT PAPERS,,,98,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1803,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BOOKS,,,387,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL SPOILED BALLOT PAPERS,,,10,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,2200,,
