LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF KUANTAN,TANAH PUTEH WARD,UMNO - MCA,,ABDUL AZIZ BIN AHMAD
TOWN COUNCIL OF KUANTAN,TANAH PUTEH WARD,UMNO - MCA,,WAN ABDUL AZIZ BIN UNGKU HAJI ABDULLAH
TOWN COUNCIL OF KUANTAN,TANAH PUTEH WARD,UMNO - MCA,,YAP KHEN VAN
TOWN COUNCIL OF KUANTAN,CENTRAL TOWN WARD,UMNO - MCA,BIRD,ABDUL RAHMAN BIN HAJI TALIB
TOWN COUNCIL OF KUANTAN,CENTRAL TOWN WARD,UMNO - MCA,ROOSTER,CHEONG SIK KUAN
TOWN COUNCIL OF KUANTAN,CENTRAL TOWN WARD,UMNO - MCA,TURKEY,LIM CHIN HUI
TOWN COUNCIL OF KUANTAN,CENTRAL TOWN WARD,INDEPENDENT,BEAR,YAP YOON KEONG
TOWN COUNCIL OF KUANTAN,TELOK SISEK WARD,UMNO - MCA,,WONG KUAN TAN
TOWN COUNCIL OF KUANTAN,TELOK SISEK WARD,UMNO - MCA,,MANSOR BIN OSMAN
TOWN COUNCIL OF KUANTAN,TELOK SISEK WARD,UMNO - MCA,,HAJI IBRAHIM BIN HAJI DAUD
