LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TAIPING TOWN COUNCIL,KLIAN PAUH,,TEAPOT,SOO AH KHENG
TAIPING TOWN COUNCIL,KLIAN PAUH,,TREE,MOKHTAR BIN HAJI ABD. MANAP
TAIPING TOWN COUNCIL,KLIAN PAUH,,PEN KNIFE,TAN KHAY THUAN
TAIPING TOWN COUNCIL,KLIAN PAUH,,BOAT,RUSTIM MANECKSHA
TAIPING TOWN COUNCIL,KLIAN PAUH,,BELL,KEE CHENG HOE
TAIPING TOWN COUNCIL,KLIAN PAUH,,SPECTACLES,ELIATHAMBY KARALAPILLAI
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,KEY,CHEAH KHAY CHUAN
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,BICYCLE,ABD. RAHMAN BIN ABDULLAH
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,FLOWER,MUSTAPHA BIN HAJI HUSSAIN
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,KITE,ONG HOCK SIM
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,BIRD,ABD. HAMID BIN ABD. LATIFF
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,HAND,MOHD. YUSSOFF BIN SHAHBANDAR OSMAN
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,DRUM,SINNADURAI ARASARADNAM
TAIPING TOWN COUNCIL,KOTA,,BALL,LEE KIM LOON
TAIPING TOWN COUNCIL,KOTA,,BOOK,OON CHONG EONG
TAIPING TOWN COUNCIL,KOTA,,COCK,ONG KAH HOOI
TAIPING TOWN COUNCIL,KOTA,,LAMP,PEH GIONG HONG
TAIPING TOWN COUNCIL,KOTA,,ELEPHANT,WONG KENG KO
TAIPING TOWN COUNCIL,KOTA,,UMBRELLA,ONG CHEAN KEE
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,WATER PIPE,ABDUL AZIZ BIN HAJI MAT JABOR
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,BOTTLE,NG HOE KHENG
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,SMOKE PIPE,ADNAN BIN ABDUL SAMAD
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,FISH,VENGADASALAM P.
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,FLOWER,KAMARIAH I. RASHID
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,SAILING BOAT,T. C. WONG
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,DURIAN,ABDUL KADIR HUSSIN
