LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,ALLIANCE - MCA,CHAN PENG HONG,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,ALLIANCE - MCA,KOH LIANG SIH,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,ALLIANCE - UMNO,MUSTAKIM BIN AHMAD,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,ALLIANCE - MCA,LEE ENG TEH,MALE,,1046,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,ALLIANCE - UMNO,MOHAMED YAMIN BIN ABDUL KADIR,MALE,,1036,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,ALLIANCE - UMNO,RAJA IBRAHIM BIN RAJA ABDUL JALIL,MALE,,1023,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,INDEPENDENT,CHEONG JIN HOE,MALE,,427,LOST,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,INDEPENDENT,A.SIVANATHAN,MALE,,238,LOST ,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,TOTAL REJECTED BALLOT PAPERS,,,,43,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,TOTAL ELECTORS,,,,1598,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,ALLIANCE - MCA,NG SOON HUAT,MALE,,688,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,ALLIANCE - UMNO,MOHD. SALLEH BIN HUSSAIN,MALE,,679,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,ALLIANCE - UMNO,SHAMSUDIN BIN HAJI HAMID,MALE,,656,WON,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,NEGARA,MUHAMMED DARUS BIN K. AHMAD,MALE,,81,LOST DEPOSIT,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,TOTAL REJECTED BALLOT PAPERS,,,,5,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,TOTAL ELECTORS,,,,813,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,ALLIANCE - MCA,CHAN CHEE HONG,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,ALLIANCE - UMNO,CHE ABDULLAH BIN HAJI MOHD. YASSIN,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,ALLIANCE - MIC,KANDASAMY GURUPATHAM,MALE,,1231,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,INDEPENDENT,S.C.E. SINGAM,MALE,,751,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,INDEPENDENT,T. R. P. DAWSON,MALE,,66,LOST DEPOSIT,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,IMPERSONATION VOTE (TENDERED VOTES),,,,2,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,130,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL ELECTORS,,,,2180,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,ALLIANCE - MCA,GUNN CHIT WHA,FEMALE,26,772,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,LABOUR,LAWRENCE H. C. HUANG @ WONG HON CHONG,MALE,,342,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,TOTAL REJECTED BALLOT PAPERS,,,,52,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,TOTAL ELECTORS,,,,1166,,
