LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,LABOUR,LAM TECK CHOON,MALE,,,WON,Y
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,ALLIANCE - MCA,WONG NANG CHING,MALE,,477,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,NEGARA,JOSEPH SIOW,MALE,,282,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL REJECTED BALLOT PAPERS,,,26,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,785,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOKS,,,415,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1200,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL ELECTORS,,,1122,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,LABOUR,KAT FYE HIN,MALE,,,WON,Y
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,LABOUR,ROBERT SINGAM,MALE,,600,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,ALLIANCE - UMNO,DATO' RAJA M. HANIFAH,MALE,,398,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL REJECTED BALLOT PAPERS,,,33,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1031,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOKS,,,468,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL SPOILED BALLOT PAPERS,,,1,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1500,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL ELECTORS,,,1369,,
