LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF SEREMBAN,TEMIANG,LABOUR,,LAM TECK CHOON
TOWN COUNCIL OF SEREMBAN,LAKE,NEGARA,UMBRELLA,JOSEPH SIOW
TOWN COUNCIL OF SEREMBAN,LAKE,ALLIANCE - MCA,PERAMBULATOR,WONG NANG CHING
TOWN COUNCIL OF SEREMBAN,LOBAK,LABOUR,,KAT FYE HIN
TOWN COUNCIL OF SEREMBAN,RAHANG,ALLIANCE - UMNO,SHIP,DATO' RAJA M. HANIFAH
TOWN COUNCIL OF SEREMBAN,RAHANG,LABOUR,WHEEL,ROBERT SINGAM
