STATE,LOCAL AUTHORITY,ALLIANCE - UMNO (VOTES),ALLIANCE - MCA (VOTES),ALLIANCE - MIC (VOTES),SF (VOTES),PMIP (VOTES),PPP (VOTES),NEGARA (VOTES),M.P. (VOTES),INDEPENDENTS (VOTES),REJECTED BALLOT PAPERS,TOTAL ELECTORATE FOR CONTESTED WARDS,ALLIANCE - UMNO (SEATS),ALLIANCE - MCA (SEATS),ALLIANCE - MIC (SEATS),SF (SEATS),PMIP (SEATS),PPP (SEATS),NEGARA (SEATS),M.P. (SEATS),INDEPENDENTS (SEATS),TOTAL LOCAL GOVERNMENT SEATS,WINNING COALITION/PARTY,NOTES
TRENGGANU,LOCAL AUTHORITY AREA OF DUNGUN,1305,544,,594,1125,,127,,,57,4898,,2,6,,1,,,,,9,ALLIANCE,
TRENGGANU,LOCAL AUTHORITY AREA OF KEMAMAN,1482,624,,359,584,,725,,27,83,4808,,2,6,,,,1,,,9,ALLIANCE,
TRENGGANU,LOCAL AUTHORITY AREA OF KUALA TRENGGANU,3642,416,,348,1744,,3175,,,193,13772,,2,7,,,,3,,,12,ALLIANCE,
PENANG,LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,6801,15642,1871,41519,,1283,,,357,967,90533,,1,,14,,,,,,15,SF,
PENANG,"LOCAL AUTHORITY AREA OF DISTRICT COUNCIL CENTRAL, PROVINCE WELLESLEY",4972,5650,,6883,920,,,,689,420,24705,8,4,,3,,,,,,15,ALLIANCE,
PENANG,"LOCAL AUTHORITY AREA OF DISTRICT COUNCIL NORTH, PROVINCE WELLESLEY",4209,1375,,,2147,,,,,175,10700,11,6,1,,,,,,,18,ALLIANCE,
PENANG,"LOCAL AUTHORITY AREA OF DISTRICT COUNCIL SOUTH, PROVINCE WELLESLEY",4918,3505,,6228,,,,,,281,18062,5,3,,1,,,,,,9,ALLIANCE,
PENANG,"LOCAL AUTHORITY AREA OF RURAL DISTRICT COUNCIL, PENANG ISLAND",8431,5656,918,10989,,,,,,435,33688,6,6,1,2,,,,,,15,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF IPOH,4543,10100,1523,,,31626,,,,924,66557,1,1,,,,16,,,,18,PPP,
PERAK,LOCAL AUTHORITY AREA OF KAMPAR,418,4581,310,,,3217,,,,102,10901,1,9,,,,2,,,,12,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF KUALA KANGSAR,,,,,,,,,,,,4,6,2,,,,,,,12,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF TAIPING,1154,373,,,,202,,,1141,68,4721,3,8,2,,,,,,2,15,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF TANJONG MALIM,303,314,,527,,,,,,6,819,5,3,2,2,,,,,,12,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF TAPAH,978,1300,452,87,,1554,,,,56,3091,4,5,1,,,2,,,,12,ALLIANCE,
PERAK,LOCAL AUTHORITY AREA OF TELOK ANSON,392,3135,497,,,2944,,,,121,9075,3,7,,,,2,,,,12,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF BENTONG,1037,1584,,2429,,,,,628,88,6706,3,4,,6,,,,,2,15,(NO CLEAR WINNER),
PAHANG,LOCAL AUTHORITY AREA OF KUALA LIPIS,134,181,,335,,,,,,11,936,4,5,1,2,,,,,,12,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF KUANTAN,1461,795,220,1938,188,,,,,88,6700,5,4,1,5,,,,,,15,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF RAUB,344,1050,240,1540,,,,,,46,3772,2,5,1,4,,,,,,12,ALLIANCE,
PAHANG,LOCAL AUTHORITY AREA OF TEMERLOH AND MENTEKAB,461,869,,1185,32,,,,87,101,3417,6,6,,2,,,,,,14,ALLIANCE,
SELANGOR,LOCAL AUTHORITY AREA OF KLANG,2055,3940,1587,7072,,4997,,,,364,24398,2,2,2,2,,4,,,,12,(NO CLEAR WINNER),
NEGRI SEMBILAN,LOCAL AUTHORITY AREA OF KUALA PILAH,414,,,850,,,,,426,10,1071,3,4,1,,,,,,1,9,ALLIANCE,
NEGRI SEMBILAN,LOCAL AUTHORITY AREA OF SEREMBAN,486,3594,755,15326,,,,,7894,200,19614,1,2,1,2,,,,,9,15,INDEPENDENTS,
MALACCA,LOCAL AUTHORITY AREA OF ALOR GAJAH RURAL DISTRICT COUNCIL,8994,3399,356,2890,4269,252,,,,465,25625,13,3,,2,1,,,,,19,ALLIANCE,
MALACCA,LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,4099,6691,,5110,,,,,,255,20578,11,7,,1,,,,,,19,ALLIANCE,
MALACCA,LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,1402,5467,1426,8638,,,,5389,,265,27190,1,3,1,5,,,,2,,12,(NO CLEAR WINNER),
MALACCA,LOCAL AUTHORITY OF JASIN RURAL DISTRICT COUNCIL,7790,2457,622,4338,1132,,,,,361,20824,10,3,1,,1,,,,,15,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF BANDAR MAHARANI,335,2204,580,2482,,750,289,,,91,8705,6,3,1,2,,,,,,12,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF BANDAR PENGGERAM,1926,1012,,921,,,,,2462,82,8355,4,5,,,,,,,3,12,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF JOHORE BAHRU,5237,3496,,5942,255,,1491,,,255,21885,7,3,,4,,,,,,14,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF KLUANG,,2523,,2159,,,,,560,96,6559,,5,,5,,,,,2,12,(NO CLEAR WINNER),"July 1961 by-elections for 3 wards yielded total hold for Alliance (7), SF (4) and Independent (1)"
JOHORE,LOCAL AUTHORITY AREA OF KOTA TINGGI,259,143,109,362,,,,,158,31,1367,3,4,,2,,,,,,9,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF MERSING,214,154,,,,,,,420,14,1039,3,4,,,,,,,2,9,ALLIANCE,
JOHORE,LOCAL AUTHORITY AREA OF PONTIAN,241,399,,652,,,,,321,21,1890,1,3,,3,,,,,2,9,(NO CLEAR WINNER),
JOHORE,LOCAL AUTHORITY AREA OF SEGAMAT,583,972,,368,,,,,458,53,2996,4,5,,,,,,,,9,ALLIANCE,
