LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,PPP,LIM CHOO CHYE,,,635,WON,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,SF,CHONG TECK MING,,,534,LOST,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,ALLIANCE - MCA,NG KAM FAN,,,593,LOST,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,REJECTED BALLOT PAPERS,,,,35,,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,TOTAL BALLOTS ISSUED,,,,1797,,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,TOTAL ELECTORATE,,,,2105,,
LOCAL AUTHORITY AREA OF KLANG,BATU BELAH WARD,TURNOUT (%),,,,85.4,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,PPP,FUNG AH CHAT,,,704,WON,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,ALLIANCE - UMNO,MAHMOOD BIN HAJI MOHD. BASIR,MALE,,314,LOST,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,SF,TEW BOON CHIN,,,525,LOST,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,REJECTED BALLOT PAPERS,,,,26,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,TOTAL BALLOTS ISSUED,,,,1569,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,TOTAL ELECTORATE,,,,1830,,
LOCAL AUTHORITY AREA OF KLANG,SUNGEI PINANG WARD,TURNOUT (%),,,,85.7,,
LOCAL AUTHORITY AREA OF KLANG,TELOK GADONG BESAR WARD,ALLIANCE - UMNO,MOHD. YAMIN B ABD. KADIR,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,ALLIANCE - MCA,TONG AH SOON,,,606,LOST,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,SF,WONG SOON,,,680,LOST,
LOCAL AUTHORITY AREA OF KLANG,KAMPONG TENGAH WARD,PPP,CHEW JOO KONG,,,990,WON,
