LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF TAIPING,ASAM KUMBANG WARD,ALLIANCE - UMNO,R. BAAYAH BINTI R. YAACOB,FEMALE,45,410,WON,
LOCAL AUTHORITY AREA OF TAIPING,ASAM KUMBANG WARD,INDEPENDENT,ISMAIL PAKEH MUDA,MALE,,262,LOST,
LOCAL AUTHORITY AREA OF TAIPING,ASAM KUMBANG WARD,REJECTED BALLOT PAPERS,,,,18,,
LOCAL AUTHORITY AREA OF TAIPING,ASAM KUMBANG WARD,TOTAL BALLOTS ISSUED,,,,690,,
LOCAL AUTHORITY AREA OF TAIPING,ASAM KUMBANG WARD,TOTAL ELECTORATE,,,,1268,,
LOCAL AUTHORITY AREA OF TAIPING,ASAM KUMBANG WARD,TURNOUT (%),,,,54.4,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,INDEPENDENT,N. MAYA KRISHNAN,MALE,,427,WON,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,ALLIANCE - UMNO,A. SHAFFIE BIN HAJI MD. TAHIR,MALE,,417,LOST,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,REJECTED BALLOT PAPERS,,,,19,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,TOTAL BALLOTS ISSUED,,,,863,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,TOTAL ELECTORATE,,,,1343,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,TURNOUT (%),,,,64.2,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,INDEPENDENT,PACHIK BIN AHMAD,MALE,,452,WON,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,ALLIANCE - UMNO,HALIMA BEE BINTI NAWAB DIN,FEMALE,,327,LOST,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,REJECTED BALLOT PAPERS,,,,20,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,TOTAL BALLOTS ISSUED,,,,799,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,TOTAL ELECTORATE,,,,1101,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,TURNOUT (%),,,,73.5,,
