LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,ALLIANCE - MCA,HAN HIU FONG,MALE,,571,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,SF,SEE TOO LIN FUI,MALE,,302,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,INDEPENDENT ,FOO HEE KWONG,MALE,,195,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,REJECTED BALLOT PAPERS,,,,8,,
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,TOTAL BALLOTS ISSUED,,,,1076,,
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,TOTAL ELECTORATE ,,,,1428,,
LOCAL AUTHORITY AREA OF SEREMBAN,BIRCH ROAD WARD,TURNOUT (%),,,,75.4,,
LOCAL AUTHORITY AREA OF SEREMBAN,BUKIT TEMBOK WARD,ALLIANCE - MIC,M. SIVAYOGAM,FEMALE,35,318,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,BUKIT TEMBOK WARD,SF,C. RAJARATNAM,MALE,,599,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,BUKIT TEMBOK WARD,REJECTED BALLOT PAPERS,,,,8,,
LOCAL AUTHORITY AREA OF SEREMBAN,BUKIT TEMBOK WARD,TOTAL BALLOTS ISSUED,,,,925,,
LOCAL AUTHORITY AREA OF SEREMBAN,BUKIT TEMBOK WARD,TOTAL ELECTORATE ,,,,1119,,
LOCAL AUTHORITY AREA OF SEREMBAN,BUKIT TEMBOK WARD,TURNOUT (%),,,,82.7,,
LOCAL AUTHORITY AREA OF SEREMBAN,JALAN LABU WARD,ALLIANCE - MCA,GOH SENG WEE,MALE,,345,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,JALAN LABU WARD,INDEPENDENT ,CHIN CHOONG THONG,MALE,,510,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,JALAN LABU WARD,REJECTED BALLOT PAPERS,,,,10,,
LOCAL AUTHORITY AREA OF SEREMBAN,JALAN LABU WARD,TOTAL BALLOTS ISSUED,,,,865,,
LOCAL AUTHORITY AREA OF SEREMBAN,JALAN LABU WARD,TOTAL ELECTORATE ,,,,1154,,
LOCAL AUTHORITY AREA OF SEREMBAN,JALAN LABU WARD,TURNOUT (%),,,,75,,
LOCAL AUTHORITY AREA OF SEREMBAN,KAMPONG BAHRU WARD,ALLIANCE - MCA,LIM KEE SIONG,MALE,,372,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,KAMPONG BAHRU WARD,INDEPENDENT ,WONG NANG CHING,MALE,,547,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,KAMPONG BAHRU WARD,REJECTED BALLOT PAPERS,,,,9,,
LOCAL AUTHORITY AREA OF SEREMBAN,KAMPONG BAHRU WARD,TOTAL BALLOTS ISSUED,,,,928,,
LOCAL AUTHORITY AREA OF SEREMBAN,KAMPONG BAHRU WARD,TOTAL ELECTORATE ,,,,1410,,
LOCAL AUTHORITY AREA OF SEREMBAN,KAMPONG BAHRU WARD,TURNOUT (%),,,,65.8,,
LOCAL AUTHORITY AREA OF SEREMBAN,LAKE WARD,INDEPENDENT ,CHEW ENG KONG,MALE,,439,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LAKE WARD,ALLIANCE - UMNO,HJ. SULAIMAN BIN JAALAM,MALE,,486,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,LAKE WARD,REJECTED BALLOT PAPERS,,,,10,,
LOCAL AUTHORITY AREA OF SEREMBAN,LAKE WARD,TOTAL BALLOTS ISSUED,,,,935,,
LOCAL AUTHORITY AREA OF SEREMBAN,LAKE WARD,TOTAL ELECTORATE ,,,,1324,,
LOCAL AUTHORITY AREA OF SEREMBAN,LAKE WARD,TURNOUT (%),,,,70.6,,
LOCAL AUTHORITY AREA OF SEREMBAN,LIMBOK WARD,ALLIANCE - MCA,LAM TECK CHOON,MALE,,392,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LIMBOK WARD,INDEPENDENT ,LAI PONG YUEN,MALE,,902,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,LIMBOK WARD,REJECTED BALLOT PAPERS,,,,25,,
LOCAL AUTHORITY AREA OF SEREMBAN,LIMBOK WARD,TOTAL BALLOTS ISSUED,,,,1319,,
LOCAL AUTHORITY AREA OF SEREMBAN,LIMBOK WARD,TOTAL ELECTORATE ,,,,1592,,
LOCAL AUTHORITY AREA OF SEREMBAN,LIMBOK WARD,TURNOUT (%),,,,82.9,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,SF,T. PARAMASIVAM ,MALE,,327,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,ALLIANCE - MCA,HO KIM SIEW,MALE,,152,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,INDEPENDENT ,KAN KOK KWAN,MALE,,489,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,REJECTED BALLOT PAPERS,,,,16,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,TOTAL BALLOTS ISSUED,,,,984,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,TOTAL ELECTORATE ,,,,1183,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK WARD,TURNOUT (%),,,,83.2,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,ALLIANCE - MCA,MATTHEW LUI FOOK KWAN,MALE,,204,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,INDEPENDENT ,WOO THONG,MALE,,482,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,SF,YET YONG SIANG,MALE,,311,LOST,
