LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,SF,TEOH TECK LEONG,,,557,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,ALLIANCE - MCA,LIM CHENG HOON,,,758,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,M.P.,SEAH CHENG SWEE,,,350,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,REJECTED BALLOT PAPERS,,,,11,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,TOTAL BALLOTS ISSUED,,,,1676,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,TOTAL ELECTORATE,,,,1980,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,TANQUERAH WARD,TURNOUT (%),,,,84.6,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,ALLIANCE - MCA,YOONG YONG FOW,,,666,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,M.P.,AUGUSTINE THOMAZIOS,MALE,,198,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,SF,YEOH HO HUAT,,,987,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,REJECTED BALLOT PAPERS,,,,11,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,TOTAL BALLOTS ISSUED,,,,1862,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,TOTAL ELECTORATE,,,,2214,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KUBU WARD,TURNOUT (%),,,,84.1,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,M.P.,"STA MARIA, VINCENT ARTHUR",MALE,,197,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,SF,HAMZAH BIN KIMIN,MALE,,752,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,ALLIANCE - MCA,CHAN AH YIN,,,829,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,REJECTED BALLOT PAPERS,,,,19,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,TOTAL BALLOTS ISSUED,,,,1797,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,TOTAL ELECTORATE,,,,2139,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BONA VISTA WARD,TURNOUT (%),,,,84,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,M.P.,CHEAH THIAN HOO,,,226,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,ALLIANCE - UMNO,MOHD. B HJ. ABD. RAHMAN,MALE,,569,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,SF,CHUNG CHENG WEN,,,838,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,REJECTED BALLOT PAPERS,,,,8,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,TOTAL BALLOTS ISSUED,,,,1641,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,TOTAL ELECTORATE,,,,1991,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,MATA KUCHING WARD,TURNOUT (%),,,,82.4,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,ALLIANCE - MCA,KOH KOON KEE,,,589,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,SF,TAN TUAN BOON,,,843,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,M.P.,HO KIM HIN,,,272,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,REJECTED BALLOT PAPERS,,,,37,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,TOTAL BALLOTS ISSUED,,,,1741,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,TOTAL ELECTORATE,,,,2060,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,HEEREN STREET WARD,TURNOUT (%),,,,84.5,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,ALLIANCE - MCA,GAN CHONG KENG,,,554,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,SF,PANG CHIN TONG,,,602,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,M.P.,TAN KEE GAK,,,669,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,REJECTED BALLOT PAPERS,,,,31,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,TOTAL BALLOTS ISSUED,,,,1856,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,TOTAL ELECTORATE,,,,2151,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,KAMPONG HULU WARD,TURNOUT (%),,,,86.3,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,M.P.,GAN TIONG WATT,,,343,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,ALLIANCE - MCA,YONG AH CHAK,,,782,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,SF,V. F. CHATTERTON,MALE,,537,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,REJECTED BALLOT PAPERS,,,,17,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,TOTAL BALLOTS ISSUED,,,,1679,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,TOTAL ELECTORATE,,,,2173,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,ST. PAUL WARD,TURNOUT (%),,,,77.3,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,ALLIANCE - MCA,WONG KOON YOON,,,627,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,M.P.,CHEN JUN LI,,,502,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,SF,KOO ENG KUANG,,,895,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,REJECTED BALLOT PAPERS,,,,21,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,TOTAL BALLOTS ISSUED,,,,2045,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,TOTAL ELECTORATE,,,,2412,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUNGA RAYA WARD,TURNOUT (%),,,,84.8,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,SF,MAH KHYE BOH,,,916,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,M.P.,HASHIM BIN HAJI ABDUL GHANI,MALE,,461,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,ALLIANCE - MCA,TANG PANG CHEE,,,662,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,REJECTED BALLOT PAPERS,,,,30,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,TOTAL BALLOTS ISSUED,,,,2069,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,TOTAL ELECTORATE,,,,2506,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BUKIT CHINA WARD,TURNOUT (%),,,,82.6,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,M.P.,CHANG KAI WAH,,,469,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,ALLIANCE - UMNO,LONGCHE' B NAYAN,,,833,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,SF,THAMBY B HASSAN,,,769,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,REJECTED BALLOT PAPERS,,,,30,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,TOTAL BALLOTS ISSUED,,,,2101,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,TOTAL ELECTORATE,,,,2608,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,DURIAN DAUN WARD,TURNOUT (%),,,,80.6,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,M.P.,YAP SOO HUP,,,650,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,SF,M. THANGASAMY,MALE,,673,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,ALLIANCE - MIC,GOVINDASAMY MARIAPPAN,MALE,,683,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,REJECTED BALLOT PAPERS,,,,33,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,TOTAL BALLOTS ISSUED,,,,2039,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,TOTAL ELECTORATE,,,,2421,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,BANDA KABA WARD,TURNOUT (%),,,,84.2,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,ALLIANCE - MIC,A. S. PINTO,MALE,,743,LOST,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,M.P.,J. L. D'CRUZ,MALE,,1052,WON,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,SF,FRANCIS JOSEPH DANKER,MALE,,269,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,REJECTED BALLOT PAPERS,,,,17,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,TOTAL BALLOTS ISSUED,,,,2081,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,TOTAL ELECTORATE,,,,2535,,
LOCAL AUTHORITY AREA OF MUNICIPALITY OF THE TOWN AND PORT OF MALACCA,UJONG PASIR WARD,TURNOUT (%),,,,82.1,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SUNGEI UDANG WARD,ALLIANCE - UMNO,ISMAIL BIN HJ. ARSHAD,MALE,,909,WON,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SUNGEI UDANG WARD,SF,DAWAM BIN IBRAHIM,MALE,,213,LOST,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SUNGEI UDANG WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SUNGEI UDANG WARD,TOTAL BALLOTS ISSUED,,,,1137,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SUNGEI UDANG WARD,TOTAL ELECTORATE,,,,1392,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SUNGEI UDANG WARD,TURNOUT (%),,,,81.7,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANGGA BATU WARD,SF,HAMID BIN MAJID,MALE,,223,LOST,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANGGA BATU WARD,ALLIANCE - MCA,ONG GEOK CHAN,,,979,WON,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANGGA BATU WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANGGA BATU WARD,TOTAL BALLOTS ISSUED,,,,1217,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANGGA BATU WARD,TOTAL ELECTORATE,,,,1404,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANGGA BATU WARD,TURNOUT (%),,,,86.6,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANJONG KLING WARD,ALLIANCE - MCA,CHUA CHING CHENG,,,913,WON,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANJONG KLING WARD,SF,OTHMAN BIN MONTEL,MALE,,174,LOST,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANJONG KLING WARD,REJECTED BALLOT PAPERS,,,,19,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANJONG KLING WARD,TOTAL BALLOTS ISSUED,,,,1106,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANJONG KLING WARD,TOTAL ELECTORATE,,,,1452,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,TANJONG KLING WARD,TURNOUT (%),,,,76.2,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,KLEBANG WARD,SF,JAMIL BIN MD. SIN,MALE,,427,LOST,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,KLEBANG WARD,ALLIANCE - UMNO,HAJI ABDUL BIN ABBAS,MALE,,967,WON,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,KLEBANG WARD,REJECTED BALLOT PAPERS,,,,19,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,KLEBANG WARD,TOTAL BALLOTS ISSUED,,,,1413,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,KLEBANG WARD,TOTAL ELECTORATE,,,,1968,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,KLEBANG WARD,TURNOUT (%),,,,71.8,,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SEBRANG GAJAH WARD,SF,BABA BIN JAAMAT,MALE,,322,LOST,
LOCAL AUTHORITY AREA OF MALACCA TENGAH RURAL DISTRICT COUNCIL,SEBRANG GAJAH WARD,ALLIANCE - MCA,LIAN SOO SENG,,,922,WON,
