LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PADANG BROWN WARD,SF,LIM KEAN SIEW,MALE,,3218,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PADANG BROWN WARD,ALLIANCE - UMNO,J.M. HARRIS ,MALE,,1668,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PADANG BROWN WARD,REJECTED BALLOT PAPERS,,,,62,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PADANG BROWN WARD,TOTAL BALLOTS ISSUED,,,,4948,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PADANG BROWN WARD,TOTAL ELECTORATE,,,,6659,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PADANG BROWN WARD,TURNOUT (%),,,,74.3,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG MANGGIS WARD,SF,TAN CHONG BEE,MALE,,3253,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG MANGGIS WARD,ALLIANCE - MCA,FONG LOON,MALE,,1815,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG MANGGIS WARD,REJECTED BALLOT PAPERS,,,,68,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG MANGGIS WARD,TOTAL BALLOTS ISSUED,,,,5136,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG MANGGIS WARD,TOTAL ELECTORATE,,,,7109,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG MANGGIS WARD,TURNOUT (%),,,,72.2,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PRANGIN WARD,SF,LOH BAN HIN,,,3266,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PRANGIN WARD,ALLIANCE - MCA,TEH CHYE THUAN,MALE,,1260,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PRANGIN WARD,REJECTED BALLOT PAPERS,,,,64,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PRANGIN WARD,TOTAL BALLOTS ISSUED,,,,4590,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PRANGIN WARD,TOTAL ELECTORATE,,,,5706,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PRANGIN WARD,TURNOUT (%),,,,80.4,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KILANG PAPAN WARD,ALLIANCE - MCA,TAN BOON CHONG,,,850,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KILANG PAPAN WARD,SF,N. PATKUNAM,MALE,,3104,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KILANG PAPAN WARD,REJECTED BALLOT PAPERS,,,,28,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KILANG PAPAN WARD,TOTAL BALLOTS ISSUED,,,,3982,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KILANG PAPAN WARD,TOTAL ELECTORATE,,,,4695,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KILANG PAPAN WARD,TURNOUT (%),,,,84.8,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,CHOWRASTA WARD,ALLIANCE - MCA,OOI POH LEONG,MALE,,2125,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,CHOWRASTA WARD,SF,KANG ENG WAH,,,2940,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,CHOWRASTA WARD,REJECTED BALLOT PAPERS,,,,59,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,CHOWRASTA WARD,TOTAL BALLOTS ISSUED,,,,5124,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,CHOWRASTA WARD,TOTAL ELECTORATE,,,,6856,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,CHOWRASTA WARD,TURNOUT (%),,,,74.7,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG EMBON WARD,SF,YAP POH HONG,,,2837,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG EMBON WARD,ALLIANCE - MCA,CHEAH CHENG POH,,,1679,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG EMBON WARD,REJECTED BALLOT PAPERS,,,,51,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG EMBON WARD,TOTAL BALLOTS ISSUED,,,,4567,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG EMBON WARD,TOTAL ELECTORATE,,,,6039,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,KAMPONG EMBON WARD,TURNOUT (%),,,,75.6,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,SUNGEI UJONG WARD,SF,WONG CHOONG WOH,MALE,,2922,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,SUNGEI UJONG WARD,ALLIANCE - MCA,LIANG JUEN CHEW,MALE,,1894,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,SUNGEI UJONG WARD,REJECTED BALLOT PAPERS,,,,55,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,SUNGEI UJONG WARD,TOTAL BALLOTS ISSUED,,,,4871,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,SUNGEI UJONG WARD,TOTAL ELECTORATE,,,,6209,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,SUNGEI UJONG WARD,TURNOUT (%),,,,78.5,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PENGKALAN WARD,SF,D.S. RAMANATHAN,MALE,,2085,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PENGKALAN WARD,ALLIANCE - MCA,CHOONG HAN LEONG @ CHOONG TIAN LYE,,,1565,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PENGKALAN WARD,REJECTED BALLOT PAPERS,,,,57,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PENGKALAN WARD,TOTAL BALLOTS ISSUED,,,,3707,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PENGKALAN WARD,TOTAL ELECTORATE,,,,5157,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PENGKALAN WARD,TURNOUT (%),,,,71.9,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PAHAT BATU WARD,ALLIANCE - MCA,LIM SENG KOK,MALE,,1491,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PAHAT BATU WARD,SF,LEE KOK LIANG,MALE,,4055,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PAHAT BATU WARD,REJECTED BALLOT PAPERS,,,,66,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PAHAT BATU WARD,TOTAL BALLOTS ISSUED,,,,5612,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PAHAT BATU WARD,TOTAL ELECTORATE,,,,6988,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,PAHAT BATU WARD,TURNOUT (%),,,,80.4,,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,GREEN GARDEN WARD,ALLIANCE - UMNO,H.E. TYEBKHAN,MALE,,1450,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,GREEN GARDEN WARD,INDEPENDENT,P.K. KESAVAN,MALE,,357,LOST,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,GREEN GARDEN WARD,SF,OOI THIAM SIEW,MALE,,2184,WON,
LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN,GREEN GARDEN WARD,REJECTED BALLOT PAPERS,,,,47,,
