LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,,AHMAD TAJUDIN BIN HAJI BAHARUDIN
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,,AHMAD TAJUDIN BIN HAJI BAHARUDIN
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,,KEE KIM SENG
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,,WOO SAIK HONG
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,,CHONG HONG CHEW
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,,MOHAMED YUSOFF BIN HAJI AHMAD
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,SAILING BOAT,M. RAMANAND
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,RING,S. NALLIAH
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SAILING BOAT,KOK HO TEIK
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,LAMP,TOH SEANG ENG
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,,OSMAN BIN SUNONG
TAIPING TOWN COUNCIL,KOTA,,,GOH CHOK SAM
TAIPING TOWN COUNCIL,KLIAN PAU,,,DR. NG KAM POH
TAIPING TOWN COUNCIL,KLIAN PAU,,,MOKHTAR BIN HAJI ABDUL MANAP
KUALA KANGSAR TOWN COUNCIL,IDRIS,,,WONG FAH SHIN
KUALA KANGSAR TOWN COUNCIL,IDRIS,,,MOHAMED NOORDIN BIN HAJI BAHARUDIN
KUALA KANGSAR TOWN COUNCIL,IDRIS,,,THANGAVALOO S/O KANNUSAMY
KUALA KANGSAR TOWN COUNCIL,KANGSAR,,,TUAN HAJI MOHAMED ESAH BIN KULOP SHAH
KUALA KANGSAR TOWN COUNCIL,KANGSAR,,,BAHADUR SINGH S/O GURDIT SINGH
KUALA KANGSAR TOWN COUNCIL,KANGSAR,,,CHUAH CHONG SEK @ CHUAH CHONG SHIK
KUALA KANGSAR TOWN COUNCIL,KENAS,,,YEOH THEAN LYE
KUALA KANGSAR TOWN COUNCIL,KENAS,,,MOHAMED ZAIN BIN AZIZ
KUALA KANGSAR TOWN COUNCIL,KENAS,,,MOHAMED NOORDIN BIN MOHAMED SHARIFF
KAMPAR TOWN COUNCIL,NORTH,,,WONG THYE PING
KAMPAR TOWN COUNCIL,NORTH,,,NG TONG LAM
KAMPAR TOWN COUNCIL,NORTH,,,FOONG SIEW WEI
KAMPAR TOWN COUNCIL,CENTRAL,,,PONNAMPALAM SITTAMPALAM
KAMPAR TOWN COUNCIL,CENTRAL,,,AYUB GHAZALI BIN ABAS
KAMPAR TOWN COUNCIL,CENTRAL,,,OH KAY SEANG
KAMPAR TOWN COUNCIL,SOUTH,,,TEH SIEW ENG
KAMPAR TOWN COUNCIL,SOUTH,,,LAM CHIEW
KAMPAR TOWN COUNCIL,SOUTH,,,NG YIN FONG
