LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN HILIR WARD,ALLIANCE - MCA,ENG KOK KING,,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN HILIR WARD,ALLIANCE - MCA,CHONG YIK HAI,,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN HILIR WARD,ALLIANCE - UMNO,MOHD. ABDULLAH P.M.,MALE,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN HILIR WARD,ALLIANCE - UMNO,HAJI ABD. RAHMAN BIN HAJI NASSERI,MALE,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN ULU WARD,ALLIANCE - MCA,YAU CHAI KEE,,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN ULU WARD,ALLIANCE - UMNO,ABDUL RAHMAN BIN ABD. LATIF,MALE,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN ULU WARD,ALLIANCE - MCA,GOH AH CHOO,,,,WON,Y
SUNGEI AYER TAWAR LOCAL COUNCIL,SUNGEI AYER TAWAR TEMPATAN ULU WARD,ALLIANCE - MCA,TAN CHEONG LOOI,,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,PADI RADIN WARD,ALLIANCE - UMNO,SALEHIN BIN ABDULLAH,MALE,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,PADI RADIN WARD,ALLIANCE - MCA,SIN CHAN AN,,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,PADI RADIN WARD,ALLIANCE - MCA,WONG ENG PANG,,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,PADI RADIN WARD,ALLIANCE - UMNO,KABIR SAHIB ABD. K.S.,,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,MAYANG NYIOR WARD,ALLIANCE - MCA,TAN SEE BOON,,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,MAYANG NYIOR WARD,ALLIANCE - MCA,CHIA LIANG CHUA,,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,MAYANG NYIOR WARD,ALLIANCE - UMNO,ZAKARIA BIN IDRIS,MALE,,,WON,Y
SUNGEI BESAR LOCAL COUNCIL,MAYANG NYIOR WARD,ALLIANCE - MCA,TANG KOK ENG,,,,WON,Y
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,INDEPENDENT,WONG TAI BOON,,,84,WON,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,ALLIANCE - MCA,LIM SIONG BOON,,,99,WON,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,ALLIANCE - MCA,WONG SII YONG,,,93,WON,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,INDEPENDENT,NG KIM LEONG,,,73,LOST,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,ALLIANCE - MCA,SOH CHING CHENG,,,78,LOST,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,SF,NG ENG KONG,,,45,LOST,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,REJECTED BALLOT PAPERS,,,,1,,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,TOTAL BALLOTS ISSUED,,,,,,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,TOTAL ELECTORATE,,,,210,,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN TENGAH WARD,TURNOUT (%),,,,80,,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN UTARA WARD,SF,LOO KIM YONG,,,248,LOST,
SEKINCHAN LOCAL COUNCIL,SEKINCHAN TEMPATAN UTARA WARD,SF,CHONG LYE CHONG,,,252,LOST,
