LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,PPP,YEOH PU CHING,,,67,LOST,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,ALLIANCE - UMNO,SYED HASSAN BIN H. HAMZAH,MALE,,212,WON,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,ALLIANCE - MCA,LEONG FOO YIM,,,211,WON,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,ALLIANCE - MCA,YUEN YIT HING,,,200,WON,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,PPP,M. DARULSAMY,MALE,,66,LOST,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,REJECTED BALLOT PAPERS,,,,4,,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,TOTAL BALLOTS ISSUED,,,,,,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,TOTAL ELECTORATE,,,,411,,
LENGGONG LOCAL COUNCIL,BUKIT RAYA WARD,TURNOUT (%),,,,70.5,,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,ALLIANCE - MCA,WONG PAK WAN,,,140,WON,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,ALLIANCE - MCA,NG CHIN LEONG,,,134,LOST,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,PPP,LUM KWOK LOON,,,145,WON,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,ALLIANCE - MIC,MUTHUVEERA S/O MADASAMY,MALE,,141,WON,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,PPP,S. G. RAMU,MALE,,136,LOST,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,PPP,LOH CHOO,,,133,LOST,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,REJECTED BALLOT PAPERS,,,,17,,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,TOTAL BALLOTS ISSUED,,,,,,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,TOTAL ELECTORATE,,,,422,,
LENGGONG LOCAL COUNCIL,BUKIT BALAI WARD,TURNOUT (%),,,,72,,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,PPP,LEE KOW,,,103,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,PPP,LOW YOONG NAM,,,103,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,ALLIANCE - MCA,NG EIK SEE,,,161,WON,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,ALLIANCE - MCA,SHUM CHONG CHOY,,,154,WON,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,PPP,NG SIN TAK,,,105,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,SF,LAI NAM,,,16,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,ALLIANCE - MCA,TAN GEOK CHUA,,,144,WON,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,REJECTED BALLOT PAPERS,,,,13,,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,TOTAL BALLOTS ISSUED,,,,,,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,TOTAL ELECTORATE,,,,377,,
LENGGONG LOCAL COUNCIL,KAMPONG DATOH WARD,TURNOUT (%),,,,75.8,,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,SF,CHUI YONG,,,29,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,ALLIANCE - MCA,NYEE HA @ LAU MIEN FUN,,,134,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,ALLIANCE - MCA,LEE YING NAM,,,129,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,PPP,KAM AIK CHONG,,,225,WON,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,PPP,HUIN SWEE LEONG,,,221,WON,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,ALLIANCE - MCA,SAM BUN YEEN,,,133,LOST,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,PPP,ONG AH NGOW,,,208,WON,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,REJECTED BALLOT PAPERS,,,,29,,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,TOTAL BALLOTS ISSUED,,,,,,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,TOTAL ELECTORATE,,,,559,,
LENGGONG LOCAL COUNCIL,KAMPONG SIRA WARD,TURNOUT (%),,,,72.9,,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - MCA,YEE KON KHOON,,,131,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - MCA,NG KIM LEONG,,,130,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - UMNO,HAJI ABDULLAH SIDEK BIN MD. SHAFEE,MALE,,128,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - MIC,P. THANGGAVELU,MALE,,127,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - MCA,LAW AH KIN,,,123,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - MCA,YONG YEE KAW,,,118,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,ALLIANCE - MCA,YIM CHEAH SAM,,,116,WON,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,INDEPENDENT,CHEAH KOK KEONG,,,87,LOST,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,INDEPENDENT,LAU KAI,,,85,LOST,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,REJECTED BALLOT PAPERS,,,,5,,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,TOTAL BALLOTS ISSUED,,,,,,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,TOTAL ELECTORATE,,,,292,,
AYER TERJUN LOCAL COUNCIL,AYER TERJUN TENGAH WARD,TURNOUT (%),,,,72.3,,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,INDEPENDENT,R. GOPAL,MALE,,225,WON,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,ALLIANCE - MCA,TOH TAN SENG,,,193,LOST,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,ALLIANCE - MCA,CHOONG KOK SINGH,MALE,,199,LOST,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,INDEPENDENT,F. MURUGIAH,MALE,,238,WON,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,INDEPENDENT,LEE KAM,,,240,WON,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,ALLIANCE - MCA,WONG YAT TUCK,,,167,LOST,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,REJECTED BALLOT PAPERS,,,,11,,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,TOTAL BALLOTS ISSUED,,,,,,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,TOTAL ELECTORATE,,,,655,,
AULONG LOCAL COUNCIL,AULONG TIMOR WARD,TURNOUT (%),,,,68.3,,
