LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,ALLIANCE - UMNO,SITI MERIAM BT. HJ HASSAN,FEMALE,,61,WON,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,ALLIANCE - UMNO,MOHD. DAUD BIN AHMAD,MALE,,59,LOST,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,PMIP,MOHD ZAIN BIN ALI,MALE,,58,LOST,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,PMIP,ABDULLAH BIN HJ ALI,MALE,,60,WON,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,ALLIANCE - UMNO,NIK HUSSIN BIN NIK LONG,MALE,,62,WON,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,PMIP,ZAINUDDIN BIN DERIS,MALE,,55,LOST,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,REJECTED BALLOT PAPERS,,,,5,,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,TOTAL BALLOTS ISSUED,,,,,,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,TOTAL ELECTORATE,,,,158,,
KUBANG KERIAN LOCAL COUNCIL,TOK BURONG WARD,TURNOUT (%),,,,81,,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,PMIP,WAN HASSAN BIN WAN YAACOB,MALE,,100,WON,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,ALLIANCE - UMNO,HASHIM BIN OMAR,MALE,,44,LOST,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,ALLIANCE - UMNO,NIK YAHYA BIN NIK ABAS,MALE,,45,LOST,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,PMIP,NASSAN BIN SULONG,MALE,,104,WON,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,PMIP,YUNUS BIN HASSAN,MALE,,100,WON,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,ALLIANCE - UMNO,MAMAT AMIN BIN AWANG SENIK,MALE,,42,LOST,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,REJECTED BALLOT PAPERS,,,,10,,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,TOTAL BALLOTS ISSUED,,,,,,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,TOTAL ELECTORATE,,,,210,,
KUBANG KERIAN LOCAL COUNCIL,KENALI WARD,TURNOUT (%),,,,75.7,,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,PMIP,SAMAN BIN SENIK,MALE,,84,WON,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,ALLIANCE - UMNO,DAUD BIN MAHMOOD,MALE,,86,WON,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,PMIP,ABDUL HAMID BIN MAN,MALE,,88,WON,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,ALLIANCE - UMNO,ISMAIL BIN HAMAT,MALE,,83,LOST,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,PMIP,HASSAN BIN AHMAD,MALE,,82,LOST,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,ALLIANCE - UMNO,W. ABDULLAH BIN WAN OMAR,MALE,,83,LOST,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,REJECTED BALLOT PAPERS,,,,10,,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,TOTAL BALLOTS ISSUED,,,,,,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,TOTAL ELECTORATE,,,,219,,
KUBANG KERIAN LOCAL COUNCIL,BALOH RAJA WARD,TURNOUT (%),,,,82.2,,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,ALLIANCE - UMNO,YUSOFF BIN AWANG MAT,MALE,,104,LOST,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,PMIP,TUAN DAUN BIN TUAN SALLEH,MALE,,114,WON,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,PMIP,ALI BIN MAT,MALE,,113,WON,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,PMIP,MOHD. NOOR BIN DAUD,MALE,,113,WON,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,ALLIANCE - UMNO,MOHAMAD BIN YUSOFF,MALE,,100,LOST,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,ALLIANCE - UMNO,MOHD. GHAZALI BIN TAHIR,MALE,,100,LOST,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,REJECTED BALLOT PAPERS,,,,3,,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,TOTAL BALLOTS ISSUED,,,,,,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,TOTAL ELECTORATE,,,,268,,
KUBANG KERIAN LOCAL COUNCIL,PULONG WARD,TURNOUT (%),,,,82.1,,
DAERAH PERINGAT LOCAL COUNCIL,PERINGAT WARD,PMIP,MAT YUNUS BIN HAJI SULAIMAN,MALE,,458,WON,
DAERAH PERINGAT LOCAL COUNCIL,PERINGAT WARD,ALLIANCE - UMNO,AB. KADIR BIN ISMAIL,MALE,,402,LOST,
DAERAH PERINGAT LOCAL COUNCIL,PERINGAT WARD,PMIP,WAN OMAR BIN AWANG,MALE,,471,WON,
DAERAH PERINGAT LOCAL COUNCIL,PERINGAT WARD,PMIP,CHE MUDA @ CHE MAT YAZID BIN CHE MAMAT,MALE,,450,WON,
DAERAH PERINGAT LOCAL COUNCIL,PERINGAT WARD,ALLIANCE - UMNO,HAJI SAUD BIN HAJI MAT TAIB,MALE,,372,LOST,
