LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,ALLIANCE - MCA,KUNG KIM TOW,,,,WON,Y
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,ALLIANCE - MCA,OOI ENG KOW,,,,WON,Y
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,ALLIANCE - UMNO,HAJI K. ABDULLAH BIN MAIDEEN,MALE,,,WON,Y
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,REJECTED BALLOT PAPERS,,,,,,
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,TOTAL BALLOTS ISSUED,,,,,,
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,TOTAL ELECTORATE,,,,,,
ANAK BUKIT LOCAL COUNCIL,TIMOR WARD,TURNOUT (%),,,,,,
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,ALLIANCE - UMNO,ALI BIN MD. ZAIN,MALE,,,WON,Y
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,ALLIANCE - MCA,CHEAH BOON KIM,,,,WON,Y
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,ALLIANCE - MCA,CHONG BOO TEONG,,,,WON,Y
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,REJECTED BALLOT PAPERS,,,,,,
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,TOTAL BALLOTS ISSUED,,,,,,
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,TOTAL ELECTORATE,,,,,,
ANAK BUKIT LOCAL COUNCIL,BARAT WARD,TURNOUT (%),,,,,,
ANAK BUKIT LOCAL COUNCIL,SELATAN WARD,ALLIANCE - UMNO,ALIYASAK BIN ISMAIL,MALE,,,WON,Y
