LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,YEOW SIN HWA,,,259,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,INDEPENDENT,LEE LOW,,,41,LOST,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,INDEPENDENT,SOH WOON HEE,,,38,LOST,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,YEOW AH SANG,,,255,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,LEONG CHOON LING,,,259,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,INDEPENDENT,KHOO HONG KAI,,,39,LOST,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,LAM SWEE MOOK,,,260,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,INDEPENDENT,CHONG PIAN LEE,,,33,LOST,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,LOH AH TONG,,,296,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,LOH MUN THONG,,,255,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,INDEPENDENT,YEOW IN POY,,,37,LOST,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,ALLIANCE - MCA,CHEW HON KEONG,,,240,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,REJECTED BALLOT PAPERS,,,,15,,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,TOTAL BALLOTS ISSUED,,,,,,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,TOTAL ELECTORATE,,,,601,,
KAKI BUKIT LOCAL COUNCIL,PEKAN BAHRU WARD,TURNOUT (%),,,,57.7,,
KAKI BUKIT LOCAL COUNCIL,PEKAN SAYOR WARD,ALLIANCE - MCA,CHONG FONG CHING,,,272,WON,
KAKI BUKIT LOCAL COUNCIL,PEKAN SAYOR WARD,INDEPENDENT,KWONG MING,,,30,LOST,
KAKI BUKIT LOCAL COUNCIL,PEKAN SAYOR WARD,INDEPENDENT,LAM MANG GEK,,,33,LOST,
