LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,ALLIANCE - MCA,HAN DOW HONG,,,40,WON,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,ALLIANCE - MCA,YONG YEW CHOON,,,35,WON,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,SF,MARIAPPAN ATHANARI,MALE,,52,WON,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,ALLIANCE - MCA,LOOI ENG SWEE,,,31,LOST,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,REJECTED BALLOT PAPERS,,,,7,,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,TOTAL BALLOTS ISSUED,,,,,,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,TOTAL ELECTORATE,,,,140,,
RINGLET LOCAL COUNCIL,BANDAR RINGLET WARD,TURNOUT (%),,,,68.6,,
RINGLET LOCAL COUNCIL,RINGLET TENGAH WARD,ALLIANCE - MCA,TANG SUN YEE,,,,WON,Y
RINGLET LOCAL COUNCIL,RINGLET TENGAH WARD,ALLIANCE - MCA,CHEOK WAI NAM,,,,WON,Y
RINGLET LOCAL COUNCIL,RINGLET TENGAH WARD,ALLIANCE - MCA,TAN HAN KUN,,,,WON,Y
RINGLET LOCAL COUNCIL,RINGLET TIMOR WARD,ALLIANCE - MCA,CHAI LIN,,,,WON,Y
RINGLET LOCAL COUNCIL,RINGLET TIMOR WARD,ALLIANCE - MCA,LIEW HOW SIN,,,,WON,Y
RINGLET LOCAL COUNCIL,RINGLET TIMOR WARD,ALLIANCE - MCA,SIAO KA PEE,,,,WON,Y
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,ALLIANCE - MCA,CHONG THAM SUE,,,69,WON,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,ALLIANCE - MCA,CHOONG SU NEE,,,68,WON,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,SF,LEE AH KOW,,,19,LOST,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,ALLIANCE - MCA,KONG AH CHEP,,,67,WON,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,REJECTED BALLOT PAPERS,,,,2,,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,TOTAL BALLOTS ISSUED,,,,,,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,TOTAL ELECTORATE,,,,125,,
PENJOM LOCAL COUNCIL,KILANG PAPAN WARD,TURNOUT (%),,,,69.6,,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,SF,TAN YOKE KAM,,,45,LOST,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,SF,CHIN KIM FOOK,,,48,WON,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,ALLIANCE - MCA,TAI MAN,,,46,WON,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,SF,SOH KIT LEONG,,,49,WON,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,ALLIANCE - MCA,PONG ONN,,,46,LOST,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,ALLIANCE - MCA,WONG CHAI WAH,,,41,LOST,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,REJECTED BALLOT PAPERS,,,,0,,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,TOTAL BALLOTS ISSUED,,,,,,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,TOTAL ELECTORATE,,,,114,,
PENJOM LOCAL COUNCIL,KAMPONG PENJOM WARD,TURNOUT (%),,,,81.6,,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,SF,YAM CHEE,,,35,LOST,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,ALLIANCE - MCA,YAP CHEW,,,57,WON,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,SF,CHONG KENG,,,40,LOST,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,ALLIANCE - MCA,CHIN WOON,,,56,WON,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,ALLIANCE - MCA,LU CHOK,,,53,WON,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,SF,LIM CHOW,,,35,LOST,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,REJECTED BALLOT PAPERS,,,,3,,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,TOTAL BALLOTS ISSUED,,,,,,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,TOTAL ELECTORATE,,,,112,,
PENJOM LOCAL COUNCIL,PEKAN PENJOM WARD,TURNOUT (%),,,,84.8,,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,ALLIANCE - MCA,WONG HING,,,151,WON,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,SF,HO FAH KONG,,,12,LOST DEPOSIT,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,ALLIANCE - MCA,LAM CHEE CHONG,,,152,WON,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,ALLIANCE - MCA,TAN CHOO GIM,,,149,WON,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,REJECTED BALLOT PAPERS,,,,16,,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,TOTAL BALLOTS ISSUED,,,,,,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,TOTAL ELECTORATE,,,,200,,
JERKOH LOCAL COUNCIL,KAMPONG JERKOH WARD,TURNOUT (%),,,,89.5,,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,ALLIANCE - MCA,WAI KUN,,,149,WON,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,ALLIANCE - MCA,NG AH SAM,,,159,WON,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,ALLIANCE - MCA,CHOO NAM,,,152,WON,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,SF,BOON KAI,,,59,LOST,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,REJECTED BALLOT PAPERS,,,,0,,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,TOTAL BALLOTS ISSUED,,,,,,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,TOTAL ELECTORATE,,,,254,,
JERKOH LOCAL COUNCIL,PEKAN JERKOH WARD,TURNOUT (%),,,,84.3,,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,SF,WONG WING,,,64,LOST,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,ALLIANCE - MCA,NG SIEW,,,138,WON,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,ALLIANCE - MCA,CHONG KIM CHIN,,,139,WON,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,SF,HO HIN,,,68,LOST,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,ALLIANCE - MCA,WONG MENG,,,133,WON,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,SF,SOO TAI,,,61,LOST,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,REJECTED BALLOT PAPERS,,,,5,,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,TOTAL BALLOTS ISSUED,,,,,,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,TOTAL ELECTORATE,,,,228,,
JERKOH LOCAL COUNCIL,LORONG JERKOH WARD,TURNOUT (%),,,,91.7,,
BENTA LOCAL COUNCIL,SEBRANG WARD,SF,LEONG WAI,,,70,LOST,
BENTA LOCAL COUNCIL,SEBRANG WARD,SF,TANG LOI,,,56,LOST,
BENTA LOCAL COUNCIL,SEBRANG WARD,ALLIANCE - MCA,LUM CHEW YEE,,,111,WON,
BENTA LOCAL COUNCIL,SEBRANG WARD,ALLIANCE - MCA,CHONG CHOON LEONG,,,88,WON,
BENTA LOCAL COUNCIL,SEBRANG WARD,SF,CHOW LIM,,,56,LOST,
BENTA LOCAL COUNCIL,SEBRANG WARD,ALLIANCE - MCA,THAN HYE THONG,,,104,WON,
BENTA LOCAL COUNCIL,SEBRANG WARD,REJECTED BALLOT PAPERS,,,,4,,
BENTA LOCAL COUNCIL,SEBRANG WARD,TOTAL BALLOTS ISSUED,,,,,,
BENTA LOCAL COUNCIL,SEBRANG WARD,TOTAL ELECTORATE,,,,202,,
BENTA LOCAL COUNCIL,SEBRANG WARD,TURNOUT (%),,,,88.1,,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,SF,WONG AH KAU,,,43,LOST,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,ALLIANCE - MCA,LIM ENG CHEE,,,136,WON,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,ALLIANCE - MCA,NG JOO HUA,,,142,WON,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,ALLIANCE - MCA,LEE TIANG,,,145,WON,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,INDEPENDENT,HUSSAIN BIN IMAM DERANI,MALE,,17,LOST DEPOSIT,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,SF,THAM KAM THOON,,,36,LOST,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,REJECTED BALLOT PAPERS,,,,4,,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,TOTAL BALLOTS ISSUED,,,,,,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,TOTAL ELECTORATE,,,,216,,
BENTA LOCAL COUNCIL,KAMPONG KELAPA WARD,TURNOUT (%),,,,86.1,,
BENTA LOCAL COUNCIL,JAMBATAN WARD,INDEPENDENT,K.P. KRISHNAN,MALE,,46,LOST,
BENTA LOCAL COUNCIL,JAMBATAN WARD,ALLIANCE - MCA,KWONG AH LOY,,,130,WON,
BENTA LOCAL COUNCIL,JAMBATAN WARD,ALLIANCE - MCA,NG SEW HONG,,,105,WON,
BENTA LOCAL COUNCIL,JAMBATAN WARD,ALLIANCE - MCA,TEE GUAN CHYE,,,105,WON,
BENTA LOCAL COUNCIL,JAMBATAN WARD,REJECTED BALLOT PAPERS,,,,7,,
BENTA LOCAL COUNCIL,JAMBATAN WARD,TOTAL BALLOTS ISSUED,,,,,,
BENTA LOCAL COUNCIL,JAMBATAN WARD,TOTAL ELECTORATE,,,,240,,
BENTA LOCAL COUNCIL,JAMBATAN WARD,TURNOUT (%),,,,67.1,,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,SF,KIO KOKE FU,,,64,LOST,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,ALLIANCE - MCA,TAN PUAN TEN,,,139,WON,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,ALLIANCE - MCA,HAN FONG,,,141,WON,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,ALLIANCE - MCA,CHONG SIN KUAN,,,122,WON,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,REJECTED BALLOT PAPERS,,,,1,,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,TOTAL BALLOTS ISSUED,,,,,,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,TOTAL ELECTORATE,,,,223,,
BENTA LOCAL COUNCIL,JALAN JERKOH WARD,TURNOUT (%),,,,85.7,,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,ALLIANCE - UMNO,M. YUNUS BIN HJ. YAHYA,MALE,,56,LOST,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,ALLIANCE - UMNO,MAT YUSOF BIN IJAU,MALE,,51,LOST,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,ALLIANCE - MCA,TAN GEE TIEW,,,44,LOST,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,INDEPENDENT,YAHAYA B. HJ. ISMAIL,MALE,,106,WON,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,INDEPENDENT,MOHAMAD NOH BIN HJ. HUSSAIN,MALE,,102,WON,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,INDEPENDENT,MAHASAN BIN AHMAD,MALE,,109,WON,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,REJECTED BALLOT PAPERS,,,,0,,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,TOTAL BALLOTS ISSUED,,,,,,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,TOTAL ELECTORATE,,,,205,,
BENTA LOCAL COUNCIL,KAMPONG MELAYU WARD,TURNOUT (%),,,,77.6,,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,SF,HOK AH CHENG,,,61,LOST,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,SF,MOO KIT LIN,,,61,LOST,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,SF,TAN SIM BEE,,,60,LOST,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,ALLIANCE - UMNO,S.A. MOHAMED SULTAN,MALE,,175,WON,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,ALLIANCE - MCA,NG POI YOKE,,,179,WON,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,ALLIANCE - MCA,LEONG WONG,,,179,WON,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,REJECTED BALLOT PAPERS,,,,10,,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,TOTAL BALLOTS ISSUED,,,,,,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,TOTAL ELECTORATE,,,,331,,
CHEROH LOCAL COUNCIL,CHEROH UTARA WARD,TURNOUT (%),,,,77.6,,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,SF,CHOK VOON,,,54,LOST,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,ALLIANCE - MCA,LEE LOY,,,206,WON,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,ALLIANCE - MCA,YAP KIM CHENG,,,202,WON,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,ALLIANCE - MCA,HOH SING,,,196,WON,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,REJECTED BALLOT PAPERS,,,,6,,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,TOTAL BALLOTS ISSUED,,,,,,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,TOTAL ELECTORATE,,,,291,,
CHEROH LOCAL COUNCIL,CHEROH TENGAH WARD,TURNOUT (%),,,,89.4,,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,SF,TAN MUN FOOK,,,81,LOST,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,SF,ABDUL AZIZ B MOHD. TASIN,MALE,,78,LOST,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,SF,TEE KIM SEH,,,75,LOST,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,ALLIANCE - MCA,LEE SEW SANG,,,146,WON,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,ALLIANCE - MCA,LEOW PENG,,,148,WON,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,ALLIANCE - MCA,LIEW SIEW MOY,,,147,WON,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,REJECTED BALLOT PAPERS,,,,4,,
CHEROH LOCAL COUNCIL,CHEROH SELATAN WARD,TOTAL BALLOTS ISSUED,,,,,,
