LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,UMNO,A. M. ABU BAKAR,MALE,,1165,LOST,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,LABOUR,A. BALAKRISHNAN,MALE,31,777,LOST,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,INDEPENDENT,KHOO YAT SEE,MALE,,1144,LOST,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,RADICAL,LEE THEAN-CHU,MALE,,2241,WON,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,RADICAL,M.E.M. MEERA HUSSAIN,MALE,,2054,WON,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,LABOUR,M. PONNUDURAI,MALE,57,1792,WON,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,INDEPENDENT,SHAIK MOHAMED ISMAIL,MALE,,660,LOST,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,RADICAL,TAN CHIN CHENG,MALE,,1228,LOST,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,LABOUR,TAN HENG CHEW,MALE,46,1077,LOST,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,REJECTED BALLOT PAPERS,,,,76,,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,SPOILT PAPERS,,,,9,,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,TENDERED VOTES,,,,5,,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,TOTAL BALLOTS ISSUED,,,,5419,,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,TOTAL ELECTORATE,,,,7782,,
MUNICIPALITY OF GEORGE TOWN,TANJONG WARD,TURNOUT (%),,,,69.6,,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,UMNO,S. M. BABOO,MALE,,587,LOST,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,RADICAL,C.O. LIM,MALE,,719,WON,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,LABOUR,LOW BENG KOOI,MALE,47,449,LOST,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,RADICAL,A. C. REUTENS,MALE,,831,WON,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,UMNO,WANCHIK ABIDIN,FEMALE,23,516,LOST,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,RADICAL,NANCY YEAP,FEMALE,,1142,WON,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,LABOUR,YEOH OON CHUAN,MALE,,396,LOST,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,REJECTED BALLOT PAPERS,,,,20,,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,SPOILT PAPERS,,,,3,,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,TENDERED VOTES,,,,0,,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,TOTAL BALLOTS ISSUED,,,,1939,,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,TOTAL ELECTORATE,,,,2439,,
MUNICIPALITY OF GEORGE TOWN,KELAWEI WARD,TURNOUT (%),,,,79.4,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,RADICAL,AZIZ IBRAHIM,MALE,,578,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,INDEPENDENT,CHEAH CHENG POH,MALE,,949,WON,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,UMNO,CHE DIN BIN PAWANTEH,MALE,34,941,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,LABOUR,P.U. DAVID,MALE,41,838,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,LABOUR,JASWANT SINGH,MALE,38,570,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,RADICAL,N.K. MENON,MALE,,1149,WON,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,UMNO,ISMAL BIN CHE MAT,MALE,,987,WON,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,LABOUR,A. RAJA GOPAL,MALE,29,82,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,REJECTED BALLOT PAPERS,,,,92,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,SPOILT PAPERS,,,,8,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,TENDERED VOTES,,,,2,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,TOTAL BALLOTS ISSUED,,,,3104,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,TOTAL ELECTORATE,,,,4203,,
MUNICIPALITY OF GEORGE TOWN,JELUTONG WARD,TURNOUT (%),,,,72.6,,
