LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,INDEPENDENT,TORCH,DATOK ORANG KAYA BONGSU ABDUL JALIL BIN SULAIMAN
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,ALLIANCE - UMNO,HAMMER,ABDUL KADIR BIN ABDULLAH
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,INDEPENDENT,SHIP,MANSOR BIN ABDULLAH
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,ALLIANCE - UMNO,UMBRELLA,MOHAMED YUSOF BIN LAL-KHAN
TOWN COUNCIL OF KUALA PILAH,PEKAN LAMA,ALLIANCE - UMNO,,YAHAYA BIN AHMAD
