LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TAPAH TOWN COUNCIL,KAMPONG DATOH,,,ARIFF SHAH BIN BUNTAL
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,SIX POINTED STAR,S. P. SEENIVASAGAM
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,SAILING BOAT,KO SENG KEE @ KHOR CHONG KEE
