LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TAPAH TOWN COUNCIL,BY-ELECTION,KAMPONG DATOH,ALLIANCE - UMNO,ARIFF SHAH BIN BUNTAL,MALE,,,WON,Y
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,MENGLEMBU,PPP,S.P. SEENIVASAGAM,MALE,,2087,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,MENGLEMBU,ALLIANCE - MCA,KO SENG KEE @ KHOR CHONG KEE,,,487,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,MENGLEMBU,,TOTAL REJECTED BALLOT PAPERS,,,3,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,MENGLEMBU,,TOTAL ELECTORS,,,4750,,
