LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
MUNICIPALITY OF KUALA LUMPUR,IMBI,MCA,DOUGLAS K.K. LEE,MALE,29,994,WON,
MUNICIPALITY OF KUALA LUMPUR,IMBI,LABOUR,K.C. CHIA,MALE,,639,LOST,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,82,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1715,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,1982,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL SPOILED BALLOT PAPERS,,,,3,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL BALLOT PAPERS ISSUED,,,,3700,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL ELECTORS,,,,3098,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,IMP,DEVAKI KRISHNAN,FEMALE,29,1138,WON,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,MCA,FOONG SOON SENG,MALE,,778,LOST,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,57,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1973,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,1526,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL SPOILED BALLOT PAPERS,,,,1,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL BALLOT PAPERS ISSUED,,,,3500,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL ELECTORS,,,,3012,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,MCA,Y.T. LEE,MALE,47,944,WON,
MUNICIPALITY OF KUALA LUMPUR,PETALING,LABOUR,A. THARMALINGAM,MALE,,826,LOST,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL REJECTED BALLOT PAPERS,,,,87,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1857,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,1337,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL SPOILED BALLOT PAPERS,,,,2,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL BALLOT PAPERS UNACCOUNTED FOR,,,,4,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL BALLOT PAPERS ISSUED,,,,3200,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL ELECTORS,,,,2852,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,UMNO,RAJA MOHAMAD BIN RAJA ALLANG,MALE,,1217,WON,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,IMP,GOH SWEE SENG,MALE,,424,LOST,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL REJECTED BALLOT PAPERS,,,,86,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1727,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,3453,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL SPOILED BALLOT PAPERS,,,,120,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL BALLOT PAPERS ISSUED,,,,5300,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL ELECTORS,,,,4541,,
