LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
MUNICIPALITY OF KUALA LUMPUR,IMBI,LABOUR,NECKTIE,K.C. CHIA
MUNICIPALITY OF KUALA LUMPUR,IMBI,MCA,GRAMAPHONE,DOUGLAS K.K. LEE
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,IMP,HOE,DEVAKI KRISHNAN
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,MCA,CANDLE,FOONG SOON SENG
MUNICIPALITY OF KUALA LUMPUR,PETALING,LABOUR,HOUSE,A. THARMALINGAM
MUNICIPALITY OF KUALA LUMPUR,PETALING,MCA,FORK,Y.T. LEE
MUNICIPALITY OF KUALA LUMPUR,SENTUL,IMP,SAMPAN,GOH SWEE SENG
MUNICIPALITY OF KUALA LUMPUR,SENTUL,UMNO,CHAIR,RAJA MOHAMAD BIN RAJA ALLANG
