UNIQUE ID,LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY,NOMINATION DATE,POLLING DATE
1963KUDC1,KUDAT DISTRICT COUNCIL,BENGKOKA WEST,SAP,NOOR MOHAMED BIN ATTA MOHAMED,MALE,,754,WON,,(MISSING INFORMATION),27 JAN 1963
1963KUDC2,KUDAT DISTRICT COUNCIL,BENGKOKA WEST,UNKO,MATARAK MONGIGGONG,MALE,,358,LOST,,(MISSING INFORMATION),27 JAN 1963
1963KUDC3,KUDAT DISTRICT COUNCIL,BENGKOKA WEST,SPOILT BALLOT PAPERS,,,,,,,(MISSING INFORMATION),27 JAN 1963
1963KUDC4,KUDAT DISTRICT COUNCIL,BENGKOKA WEST,TOTAL BALLOTS ISSUED,,,,,,,(MISSING INFORMATION),27 JAN 1963
1963KUDC5,KUDAT DISTRICT COUNCIL,BENGKOKA WEST,TOTAL ELECTORATE,,,,,,,(MISSING INFORMATION),27 JAN 1963
1963KUDC6,KUDAT DISTRICT COUNCIL,BENGKOKA WEST,TURNOUT (%),,,,55.1,,,(MISSING INFORMATION),27 JAN 1963
1963SIDC1,SIPITANG DISTRICT COUNCIL,SIPITANG URBAN,SAP,PENGGIRAN OMAR ALI SAIFUDDIN BIN PENGGIRAN OTHMAN,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1963SIDC2,SIPITANG DISTRICT COUNCIL,ULU PADAS,INDEPENDENT,IMPAN BIN MAGA,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1963SIDC3,SIPITANG DISTRICT COUNCIL,SIPITANG RURAL,USNO,KUTING BIN O. T. AAPAR,MALE,,,WON,Y,11 FEB 1963,UNCONTESTED
1963SIDC4,SIPITANG DISTRICT COUNCIL,MESAPOL URBAN,USNO,MOHD. NOH BIN RAYA,MALE,,131,WON,,11 FEB 1963,3 MAR 1963
1963SIDC5,SIPITANG DISTRICT COUNCIL,MESAPOL URBAN,INDEPENDENT,TAY GUAT SWEE,,,85,LOST,,11 FEB 1963,3 MAR 1963
1963SIDC6,SIPITANG DISTRICT COUNCIL,MESAPOL URBAN,SPOILT BALLOT PAPERS,,,,,,,11 FEB 1963,3 MAR 1963
