COUNCIL,DIVISION,WARD NUMBER,WARD NAME,COALITION/PARTY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,CANDIDATE VOTES,STATUS,UNCONTESTED VICTORY
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,13,BETONG BAZAAR,SUPP,HENG TAI TECK,MALE,,218,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,13,BETONG BAZAAR,ALLIANCE,YEO CHENG SIANG,MALE,,30,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,14,LOWER BETONG,INDEPENDENT,ABG. ABDUL KARIM BIN ABG. HASSAN,MALE,,139,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,14,LOWER BETONG,PANAS,ABG. ROSLI BIN ABG. AHMAD,MALE,,136,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,15,UPPER BETONG,ALLIANCE,STEPHEN KALONG NINGKAN,MALE,43,532,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,15,UPPER BETONG,INDEPENDENT,PENGARAH MONTEGRAI ANAK TUGANG,MALE,,323,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,16,PADEH/LOWER LAYAR,ALLIANCE,PENGHULU DANIEL BARAN BROOKE,MALE,,506,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,16,PADEH/LOWER LAYAR,SUPP,GANDIK ANAK NYANGGAU,MALE,,175,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,16,PADEH/LOWER LAYAR,INDEPENDENT,EDWARD NANANG,MALE,,163,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,17,MIDDLE LAYAR/LOWER SPAK,ALLIANCE,JABING ANAK EMPALING,MALE,,351,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,17,MIDDLE LAYAR/LOWER SPAK,INDEPENDENT,LABA ANAK RIMONG,MALE,,279,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,18,UPPER LAYAR/UPPER SPAK,INDEPENDENT,PENGHULU NANANG ANAK SUDOK,MALE,,253,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,18,UPPER LAYAR/UPPER SPAK,ALLIANCE,JAPOK ANAK GALAYAN,MALE,,235,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,18,UPPER LAYAR/UPPER SPAK,INDEPENDENT,BERIAK ANAK ANGKING,MALE,,33,LOST,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,19,PUSA,PANAS,HJ. HAMSAWI BIN HJ. OMAR,MALE,,,WON,Y
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,20,DEBAK,PANAS,KIHOK BIN AMAT,MALE,,360,WON,N
SARIBAS DISTRICT COUNCIL,SECOND DIVISION,20,DEBAK,INDEPENDENT,STEPHEN CHONG KAI HONG,MALE,,194,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,1,SEMAH,ALLIANCE,SANDOM ANAK NYUAK,MALE,,208,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,1,SEMAH,PANAS,JARAIE BIN JA'AFAR,MALE,,104,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,2,SERDENG,ALLIANCE,MUDA BIN HAJI YUSOF,MALE,,,WON,Y
BINATANG DSTRICT COUNCIL,THIRD DIVISION,3,MUPONG,ALLIANCE,RENGGI ANAK BANDAN,MALE,,302,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,3,MUPONG,SUPP,NYANDANG ANAK LINANG,MALE,,113,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,4,PULAU BUNUT,SUPP,CHIU MING TONG,MALE,,230,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,4,PULAU BUNUT,ALLIANCE,LAU PANG ING,MALE,,173,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,4,PULAU BUNUT,INDEPENDENT,J. LEGAK ANAK SEMAN,MALE,,140,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,5,REJANG,ALLIANCE,BRANDAH ANAK MALENG,MALE,,147,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,5,REJANG,INDEPENDENT,LEMAH ANAK SAING,FEMALE,,141,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,5,REJANG,SUPP,PAU ANAK JAMIT,MALE,,105,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,6,MERADONG,INDEPENDENT,JIMBAT ANAK INTAN,MALE,,222,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,6,MERADONG,SUPP,TANG TUNG WENG,MALE,,63,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,6,MERADONG,ALLIANCE,ANTAS ANAK PENGIRAN,MALE,,25,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,6,MERADONG,SUPP,LING CHIONG PING,MALE,,17,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,7,ULU BINATANG,ALLIANCE,ENSALI ANAK AJAH,MALE,,213,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,7,ULU BINATANG,SUPP,CHIENG HAW SING,MALE,,203,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,7,ULU BINATANG,INDEPENDENT,BUNSU ANAK TUNGKAT,MALE,,127,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,7,ULU BINATANG,INDEPENDENT,LAU NGIIK CHEONG,MALE,,17,LOST DEPOSIT,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,8,MADOR,ALLIANCE,BOON ANAK UNDI,MALE,,270,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,8,MADOR,INDEPENDENT,LEE BOON CHIANG,MALE,,94,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,9,KERTONG,SUPP,TIANG SION KWONG,MALE,,375,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,9,KERTONG,INDEPENDENT,TING YEW LEH,MALE,,106,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,10,TULAI ,SUPP,WONG KA MING,MALE,,266,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,10,TULAI ,INDEPENDENT,WONG SONG ING,MALE,,117,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,11,NARASIT,SUPP,WONG TING TUONG,MALE,,435,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,11,NARASIT,INDEPENDENT,SIA KIE TUH,MALE,,31,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,12,BINATANG EAST,SUPP,TIONG SIU KING,MALE,,182,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,12,BINATANG EAST,INDEPENDENT,TENG TUN HSIN,MALE,,94,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,12,BINATANG EAST,ALLIANCE,LING CHO YU,MALE,,78,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,13,BINATANG WEST,ALLIANCE,ABG. HJ. AMIR BIN ABG. HJ. KADIR,MALE,,244,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,13,BINATANG WEST,PANAS,ABG. @ BADARUDIN BIN BAKAR,MALE,,186,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,14,KELUPU,SUPP,LU HUAT TAIH,MALE,,433,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,14,KELUPU,ALLIANCE,CHAN PAK HUI,MALE,,188,LOST,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,15,KEMANTAN,SUPP,CHIENG SIE KWONG,MALE,,241,WON,N
BINATANG DSTRICT COUNCIL,THIRD DIVISION,15,KEMANTAN,INDEPENDENT,HA MEE LEE,MALE,,23,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,1,ULU JULAU,ALLIANCE,JANA ANAK CHOH,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,2,WAK,ALLIANCE,JIMBAT ANAK BELULOK,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,3,PAKAN,INDEPENDENT,JALAK ANAK SAGA,MALE,,433,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,3,PAKAN,INDEPENDENT,DANGGAT ANAK NGUMBANG,MALE,,227,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,4,LEMUJAN/SUGAI,INDEPENDENT,ARIS ANAK BANA,MALE,,382,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,4,LEMUJAN/SUGAI,INDEPENDENT,BILI ANAK RENANG,MALE,,231,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,4,LEMUJAN/SUGAI,INDEPENDENT,PENGHULU LIMAN,MALE,,356,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,5,LOWER JULAU,INDEPENDENT,JAWI ANAK SABAN,MALE,,747,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,5,LOWER JULAU,INDEPENDENT,EMPALING ANAK IMONG,MALE,,116,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,6,RAYAH,ALLIANCE,PENGARAH BANYANG,MALE,,628,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,6,RAYAH,SUPP,UMPI ANAK JUING,MALE,,121,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,7,MELUAN,ALLIANCE,PENGHULU TEDONG,MALE,,608,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,7,MELUAN,INDEPENDENT,KONG HUI HENG,MALE,,42,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,8,ULU KANOWIT,ALLIANCE,KABA ANAK UKIT,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,9,ULU ENTABAI,ALLIANCE,GUANG ANAK JANAM,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,10,LOWER ENTABAI,ALLIANCE,GANI ANAK DAGANG,MALE,,658,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,10,LOWER ENTABAI,SUPP,GALOT ANAK GALAYAN,MALE,,84,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,11,ULU NGEMAH,ALLIANCE,PENGHULU MASAM,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,12,LOWER NGEMAH,ALLIANCE,PENGHULU AJOT ANAK MAGAI,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,13,KABAH/MAPAI,ALLIANCE,ANDREW SIPOK,MALE,,563,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,13,KABAH/MAPAI,SUPP,NAGA ANAK DEMONG,MALE,,45,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,14,BATANG REJANG,INDEPENDENT,RANGGAR ANAK SANGGAU,MALE,,463,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,14,BATANG REJANG,SUPP,BALAI ANAK NUING,MALE,,349,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,14,BATANG REJANG,INDEPENDENT,LIAS ANAK KANA,MALE,,14,LOST DEPOSIT,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,15,ULU POI,ALLIANCE,GUNTOR ANAK BANA,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,16,LOWER POI,ALLIANCE,JOSEPH UNTING ANAK UMANG,MALE,,386,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,16,LOWER POI,INDEPENDENT,GALAH ANAK UBONG,MALE,,115,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,16,LOWER POI,INDEPENDENT,RENANG ANAK UBONG,MALE,,46,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,17,MACHAN,ALLIANCE,NAGGAI ANAK BALA,MALE,,817,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,17,MACHAN,INDEPENDENT,LING KIONG KING,MALE,,58,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,18,LOWER KANOWIT,ALLIANCE,PENGHULU FRANCIS UMPAU,MALE,,505,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,18,LOWER KANOWIT,SUPP,BAYANG ANAK JAROP,MALE,,24,LOST DEPOSIT,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,19,RANAN/MAJAU,ALLIANCE,BUJANG ANAK MANJA,MALE,,729,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,19,RANAN/MAJAU,SUPP,INTAI ANAK JABOK,MALE,,151,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,19,RANAN/MAJAU,PANAS,MOHD. RAPAEE BIN MAHLI,MALE,,1,LOST DEPOSIT,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,20,KANOWIT TOWN,INDEPENDENT,LEE GHIN CHENG,MALE,,325,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,20,KANOWIT TOWN,INDEPENDENT,AWG. SHAMSHUDIN,MALE,,71,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,21,JULAU MIXED ZONE,SUPP,LAU NAI CHO,MALE,,131,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,21,JULAU MIXED ZONE,INDEPENDENT,WONG SIE TIONG,MALE,,37,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,22,BAWAN/TUAH,ALLIANCE,MATTHEW ANAK SIMON,MALE,,,WON,Y
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,23,JIH/PEDAI,SUPP,PETER FUNG SENG CHUNG,MALE,,266,WON,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,23,JIH/PEDAI,INDEPENDENT,LAYANG ANAK LIUM,MALE,,209,LOST,N
KANOWIT DISTRICT COUNCIL,THIRD DIVISION,24,LUKUT,SUPP,KONG FOH KIM,MALE,,,WON,Y
KAPIT DISTRICT COUNCIL,THIRD DIVISION,1,KAPIT TOWN,ALLIANCE,SNG CHIN JOO,MALE,,299,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,1,KAPIT TOWN,SUPP,NAWI BIN DAUD,MALE,,272,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,2,MERIRAI,ALLIANCE,"TEMENGGONG JUGAH ANAK BARIENG, O.B.E.",MALE,60,727,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,2,MERIRAI,SUPP,T. R. NYALA ANAK SEKAU,MALE,,278,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,3,GA'AT,ALLIANCE,PENGHULU KUMBONG ANAK GRINANG,MALE,,1019,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,3,GA'AT,SUPP,AYOM ANAK SIGAI,MALE,,158,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,4,MELINAU,ALLIANCE,PENGARAH SIBAT ANAK SEMADA,MALE,,683,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,4,MELINAU,SUPP,KULLEH ANAK SEMADA,MALE,,263,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,4,MELINAU,INDEPENDENT,MASING ANAK LASAH,MALE,,178,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,5,MUJONG,ALLIANCE,PENGHULU SILO ANAK JANTING,MALE,,516,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,5,MUJONG,INDEPENDENT,SIBAT MIOT ANAK TAGONG,MALE,,325,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,5,MUJONG,SUPP,E. R. TUNGKU ANAK EJIK,MALE,,210,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,6,SUT,ALLIANCE,PENGHULU JINGGUT ANAK ATTAN,MALE,,952,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,6,SUT,SUPP,LUYOH ANAK RABONG,MALE,,159,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,6,SUT,SUPP,T. R. ENTAP ANAK JENAU,MALE,,147,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,7,PELAGUS,ALLIANCE,T. R. ISOP ANAK UKAR,MALE,,280,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,7,PELAGUS,INDEPENDENT,SIBA ANAK BUNSI,MALE,,174,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,8,MERIT,ALLIANCE,T. R. LANGAK ANAK SEBAU,MALE,,,WON,Y
KAPIT DISTRICT COUNCIL,THIRD DIVISION,9,AMANG,ALLIANCE,PENGHULU KULLEH ANAK JINGGA,MALE,,1039,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,9,AMANG,INDEPENDENT,T. R. FRANCIS ANAK NYUAK,MALE,,524,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,9,AMANG,SUPP,KANDAU ANAK NANANG,MALE,,302,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,10,SONG TOWN,ALLIANCE,LING CHAI TOH,MALE,,98,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,10,SONG TOWN,SUPP,ONG GHIN KIOK,FEMALE,,89,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,11,LOWER KATIBAS,ALLIANCE,PENGHULU JUGAH ANAK LAPEK,MALE,,469,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,11,LOWER KATIBAS,SUPP,IKAU ANAK NINGKAN,MALE,,303,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,12,TEKALIT,ALLIANCE,NGELAYANG ANAK IMBA,MALE,,,WON,Y
KAPIT DISTRICT COUNCIL,THIRD DIVISION,13,BANGKIT ,ALLIANCE,BEDALI ANAK DIAN,MALE,,509,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,13,BANGKIT ,INDEPENDENT,GELAU ANAK PENGHULU MASAM,MALE,,322,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,14,SEBULOH ,ALLIANCE,ABIT ANAK ANGKIN,MALE,,,WON,Y
KAPIT DISTRICT COUNCIL,THIRD DIVISION,15,UPPER KATIBAS,ALLIANCE,PENGHULU MANGGAI ANAK LAJANG,MALE,,515,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,15,UPPER KATIBAS,SUPP,KUJAU ANAK BLAJA,MALE,,345,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,16,BELAGA,ALLIANCE,PENGHULU MATU PUSO,MALE,,863,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,16,BELAGA,INDEPENDENT,LASAH ABUN UMA KEJAMAN,MALE,,13,LOST DEPOSIT,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,16,BELAGA,INDEPENDENT,NYIPA BATO,MALE,27,414,LOST,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,17,BALUI,ALLIANCE,TAJANG LAENG,MALE,25,655,WON,N
KAPIT DISTRICT COUNCIL,THIRD DIVISION,17,BALUI,SUPP,LISUT ABOK,MALE,,378,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,1,MATU BAZAAR,SUPP,LIM SEK CHONG,MALE,,,WON,Y
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,2,AKG. SEKA'AN BESAR,INDEPENDENT,ABANG ABDULRANI BIN ABG. ADENG,MALE,,202,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,2,AKG. SEKA'AN BESAR,ALLIANCE,UJIL BIN TUGOK,MALE,,171,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,3,SOK,ALLIANCE,AWANG HIPNI BIN PENGIRAN ANNU,MALE,,,WON,Y
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,4,JAMORENG,ALLIANCE,HJ. BOHARI BIN HJ. TAHA,MALE,,114,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,4,JAMORENG,INDEPENDENT,GEORGE BIN HJ. DRAHMAN,MALE,,89,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,5,BAWANG,ALLIANCE,PLIAN BIN ABAS,MALE,,195,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,5,BAWANG,INDEPENDENT,DOLHAN BIN HASSAN,MALE,,177,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,6,TIAN,INDEPENDENT,HJ. MAHSEN BIN HJ. LAISARI,MALE,,263,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,6,TIAN,ALLIANCE,HJ. HASHIM BIN ISO,MALE,,141,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,7,KUALA MATU,ALLIANCE,JUNGKONG BIN AMIN,MALE,,,WON,Y
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,8,LEMANG PEH,ALLIANCE,BERAWI BIN BABIL,MALE,,,WON,Y
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,9,DARO,INDEPENDENT,K. A. YAHYA BIN TAMBI GANI,MALE,,,WON,Y
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,10,DARO BAZAAR,INDEPENDENT,SIM SEK GHEE,MALE,,51,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,10,DARO BAZAAR,INDEPENDENT,TIANG KUONG HUAT,MALE,,41,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,10,DARO BAZAAR,INDEPENDENT,TANG NGIE SIONG,MALE,,40,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,11,SAAI,ALLIANCE,MOHAMAD BIN HASSAN,MALE,,218,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,11,SAAI,INDEPENDENT,YAHYA BIN ABDULRAHIM,MALE,,108,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,11,SAAI,INDEPENDENT,ABDULRAHMAN BIN HJ. KASSIM,MALE,,53,LOST,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,12,TEKAJONG,INDEPENDENT,BAKERAN BIN BAKRI,MALE,,,WON,Y
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,13,BRUIT,ALLIANCE,HJ. RAZALI BIN HJ. REDUAN,MALE,,116,WON,N
MATU/DARO DISTRICT COUNCIL ,THIRD DIVISION,13,BRUIT,INDEPENDENT,AWANG ABOL BIN AWANG SAHARI,MALE,,111,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,1,MUKAH TOWN,INDEPENDENT,WEE LAM HAI,MALE,,238,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,1,MUKAH TOWN,INDEPENDENT,GOH JOCK LING,MALE,,156,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,2,TILIAN/TUTUS HILIR/BEDANGA,INDEPENDENT,EDWARD BIN KADIR,MALE,,476,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,2,TILIAN/TUTUS HILIR/BEDANGA,INDEPENDENT,DAU BIN LIAM,MALE,,162,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,2,TILIAN/TUTUS HILIR/BEDANGA,INDEPENDENT,PUKOK BIN MERATIM,MALE,,123,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,3,PETANAK/PETIAN/JUDAN/KUALA LAMA/PENAKOP HILIR,INDEPENDENT,MOHD FAUZI BIN HAMDANI,MALE,,449,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,3,PETANAK/PETIAN/JUDAN/KUALA LAMA/PENAKOP HILIR,INDEPENDENT,RAMLEE BIN TITUN,MALE,,127,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,3,PETANAK/PETIAN/JUDAN/KUALA LAMA/PENAKOP HILIR,INDEPENDENT,PRIN BIN KASANG,MALE,,116,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,4,LITONG/BUNUT/ALO/TUTUS ULU/JEBUNGAN/TEGA,INDEPENDENT,MOHAMED NOH BIN HAMDAN,MALE,,370,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,4,LITONG/BUNUT/ALO/TUTUS ULU/JEBUNGAN/TEGA,INDEPENDENT,MUNAN BIN BUJANG,MALE,,196,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,5,PENAKOP ULU/SESOK/TEH TABO/SAU/SKOYAN/KENYANA,INDEPENDENT,IPOK BIN ANI,MALE,,397,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,5,PENAKOP ULU/SESOK/TEH TABO/SAU/SKOYAN/KENYANA,INDEPENDENT,AMPENG ANAK BALINGAN,MALE,,109,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,5,PENAKOP ULU/SESOK/TEH TABO/SAU/SKOYAN/KENYANA,INDEPENDENT,LING BENG TUANG,MALE,,18,LOST DEPOSIT,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,6,ULU KENYANA/PENIPAH/BEDENGAN,INDEPENDENT,TAN YONG BEE,MALE,,132,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,6,ULU KENYANA/PENIPAH/BEDENGAN,INDEPENDENT,MALING ANAK AYAI,MALE,,106,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,7,BAKONG/GIGIH/SIKAT/BATANG MUKAH,INDEPENDENT,UGIL ANAK UCHONG,MALE,,319,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,7,BAKONG/GIGIH/SIKAT/BATANG MUKAH,INDEPENDENT,BILLI ANAK BELITANG,MALE,,220,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,7,BAKONG/GIGIH/SIKAT/BATANG MUKAH,INDEPENDENT,WAT ANAK TINDIN,MALE,,136,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,7,BAKONG/GIGIH/SIKAT/BATANG MUKAH,INDEPENDENT,LABANG ANAK JAGO,MALE,,6,LOST DEPOSIT,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,8,SELANGAU/ULU MUKAH,INDEPENDENT,ALIH ANAK JUENG,MALE,,245,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,8,SELANGAU/ULU MUKAH,INDEPENDENT,AROH ANAK NYIMBONG,MALE,,178,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,8,SELANGAU/ULU MUKAH,INDEPENDENT,AWIT ANAK KUDAN,MALE,,102,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,8,SELANGAU/ULU MUKAH,INDEPENDENT,WAMARAU ANAK RAMPAI,MALE,,77,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,9,PENAT/MUDAN/OYA/TRUS BAKONG,INDEPENDENT,DATU PENGIRAN LAI BIN DATU PENGIRAN HAJ MOHAMAT,MALE,,410,WON,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,9,PENAT/MUDAN/OYA/TRUS BAKONG,INDEPENDENT,M. HALPI BIN ABDULRAHMAN,MALE,,376,LOST,N
MUKAH DISTRICT COUNCIL,THIRD DIVISION,10,BALAN/TANAM/UD,INDEPENDENT,SERA BIN IWAL,MALE,,462,WON,N
