LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,UMNO - MCA,CHIN SEE YIN,MALE,,634,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,UMNO - MCA,LIM KEE SIONG,MALE,,559,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,UMNO - MCA,JAMALUDIN AJI,MALE,,530,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,LABOUR,LAM TECK CHOON,MALE,,251,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,INDEPENDENT,B. H. TAN,,,99,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL REJECTED BALLOT PAPERS,,,17,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,790,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOKS,,,609,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL SPOILED BALLOT PAPERS,,,1,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1400,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL ELECTORS,,,974,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,UMNO - MCA,LEE TEE SIONG,MALE,,485,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,UMNO - MCA,TUNKU ASIAH,FEMALE,,405,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,UMNO - MCA,WONG NAM CHING,MALE,,342,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,INDEPENDENT,KAT FYE HIN,MALE,,316,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,INDEPENDENT,SINGAM,MALE,,293,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,INDEPENDENT,JOSEPH SIOW LOONG HIN,MALE,,265,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,INDEPENDENT,SUPPIAH,MALE,,117,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL REJECTED BALLOT PAPERS,,,10,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,856,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOKS,,,643,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL SPOILED BALLOT PAPERS,,,1,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1500,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL ELECTORS,,,1008,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,LABOUR,S. SATHAPPAN,MALE,,526,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,UMNO - MCA,HAN HUI FONG,MALE,,524,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,UMNO - MCA,JAAFAR BIN HAJI TALIB,MALE,,443,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,UMNO - MCA,K. RAJAH,MALE,,355,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,INDEPENDENT,THAM TAT MING,MALE,,259,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,PROGRESSIVES,I. M. K. PILLAY,MALE,,128,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL REJECTED BALLOT PAPERS,,,7,,
