LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH NORTH WARD,ALLIANCE - MCA,,TAN MENG CHUA @ TAN KI CHEN
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH NORTH WARD,ALLIANCE - MCA,,NGAU KEN LOCK
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH NORTH WARD,ALLIANCE - MCA,,GOH ANN
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,TELEPHONE,ARSHAD BIN HAJI HASSAN
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,CLOCK,HASSAN BIN OMAR
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,TORCH,OMAR BIN ISMAIL
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,INDEPENDENT,UMBRELLA,SALLEH BIN TAIS
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,INDEPENDENT,AEROPLANE,WONG PEKAN
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB NORTH WARD,ALLIANCE - MCA,TORCH,NG KIM KEE
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB NORTH WARD,ALLIANCE - MCA,TELEPHONE,TAN HEE TONG
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB NORTH WARD,ALLIANCE - UMNO,CLOCK,MOHD. TAIB BIN NIK
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB NORTH WARD,INDEPENDENT,TAPPER'S KNIFE,TAN HEE THONG
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB SOUTH WARD,ALLIANCE - MIC,,GURMUKH SINGH
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB SOUTH WARD,ALLIANCE - MCA,,YOONG SZE LEONG
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB SOUTH WARD,ALLIANCE - UMNO,,MOHD. SAID BIN SINGAH
TOWN COUNCIL OF BENTONG,BENTONG TOWN WARD,ALLIANCE - UMNO,FOUNTAIN PEN,CHIK BIN MATTIN
TOWN COUNCIL OF BENTONG,BENTONG TOWN WARD,INDEPENDENT,WATER TAP,NG SEH HING
TOWN COUNCIL OF BENTONG,KETARI WARD,ALLIANCE - MIC,,A. RAJA GOPAL
TOWN COUNCIL OF BENTONG,CHAMANG REPAS WARD,INDEPENDENT,TABLE,CHOONG SOO CHYE
TOWN COUNCIL OF BENTONG,CHAMANG REPAS WARD,ALLIANCE - UMNO,CAP,ABU BAKAR BIN BAGINDA BESAR
TOWN COUNCIL OF BENTONG,PERTING KEMANSUR WARD,ALLIANCE - MCA,,CHOW TEK NOE
TOWN COUNCIL OF KUANTAN,TANAH PUTEH WARD,ALLIANCE - UMNO,,ABDUL AZIZ BIN AHMAD
TOWN COUNCIL OF KUANTAN,CENTRAL TOWN WARD,ALLIANCE - MCA,,TAN KAY SIANG
TOWN COUNCIL OF KUANTAN,TELOK SISEK WARD,ALLIANCE - UMNO,,MAHMUD BIN GALING BESAR
TOWN COUNCIL OF RAUB,R.A.G.M. WARD,ALLIANCE - UMNO,,ISMAIL BIN SULAIMAN
TOWN COUNCIL OF RAUB,TANJONG GADONG WARD,ALLIANCE - MCA,,CHUA YONG GUAN
TOWN COUNCIL OF RAUB,SEMPALIT WARD,ALLIANCE - MIC,,M. MARIMUTHU
TOWN COUNCIL OF RAUB,RAUB TOWN WARD,ALLIANCE - MIC,,MUTHUKRISHNAN GOVINDASAMY
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH NORTH WARD,ALLIANCE - MCA,,NGAU KEN LOCK
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,,HASSAN BIN OMAR
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB NORTH WARD,ALLIANCE - MCA,,NG KIM KEE
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB SOUTH WARD,ALLIANCE - MIC,,GURMUKH SINGH
