LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,GREEN TOWN,PPP,D.R. SEENIVASAGAM,MALE,36,967,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,GREEN TOWN,ALLIANCE - UMNO,MOHD. YUNAN BIN ABDULLAH SANI,MALE,,630,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,GREEN TOWN,,TOTAL REJECTED BALLOT PAPERS,,,9,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,BY-ELECTION,GREEN TOWN,,TOTAL ELECTORS,,,3321,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - UMNO,ABDUL AZIZ BIN HAJI MOHAMED JABBAR,MALE,47,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,ALLIANCE - MCA,WAH KENG JOOI,MALE,55,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - MCA,SAW BENG KUAN,MALE,40,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,IDRIS,ALLIANCE - MIC,THANGAVELOO S/O KANNUSAMY,MALE,38,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KANGSAR,ALLIANCE - MCA,CHUAH CHONG SHIK @ CHUAH CHONG SEK,MALE,45,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KENAS,ALLIANCE - UMNO,MOHAMED NOORDIN BIN MOHAMED SHARIFF,MALE,62,,WON,Y
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,PPP,D.R. SEENIVASAGAM,MALE,36,1150,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,ALLIANCE - MCA,YEOH KIAN TEIK,MALE,,730,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL REJECTED BALLOT PAPERS,,,7,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL ELECTORS,,,3565,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,PPP,TOH SEANG ENG,MALE,48,834,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - MIC,A.K.S. MANIAM,MALE,33,622,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL REJECTED BALLOT PAPERS,,,12,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL ELECTORS,,,3187,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,NAP,CHEONG PAK KEEN,MALE,41,739,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - MCA,CHEW PENG LOON,MALE,40,502,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL REJECTED BALLOT PAPERS,,,9,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL ELECTORS,,,2031,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - UMNO,MOHD. YUNAN BIN ABDULLAH SANI,MALE,33,738,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,PPP,CHOY KOK KUAN,MALE,38,555,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL REJECTED BALLOT PAPERS,,,12,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL ELECTORS,,,2726,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,LABOUR,SABA RATNAM S/O SELLAR,MALE,42,716,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,ALLIANCE - MCA,NG PI CA,MALE,47,402,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,TOTAL REJECTED BALLOT PAPERS,,,27,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,TOTAL ELECTORS,,,2038,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,ALLIANCE - MCA,HWANG YUNG CHIH,MALE,27,449,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,ALLIANCE - UMNO,MOHAMED NOOR BIN MOHAMMED,MALE,45,440,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,LABOUR,LIM CHYE GUAN,MALE,,428,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,LABOUR,NOR RASHID BIN ARIFFIN,MALE,32,378,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL REJECTED BALLOT PAPERS,,,13,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,TOTAL ELECTORS,,,1604,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,LABOUR,GOH AH HIN,MALE,52,564,WON,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,ALLIANCE - MCA,OOI CHENG HOE,MALE,55,431,LOST,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL REJECTED BALLOT PAPERS,,,13,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL ELECTORS,,,1743,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,ALLIANCE - MCA,CHIN LENG,MALE,,,WON,Y
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,ALLIANCE - UMNO,MOHD. SHARIFF BIN SUJUD,MALE,,,WON,Y
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,MALACCA,ALLIANCE - MCA,TAN CHONG HONG,MALE,,,WON,Y
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,ALLIANCE - MCA,LEE SECK FUN,MALE,31,,WON,Y
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,ALLIANCE - UMNO,SULAIMAN BIN HAJI ANUAR,MALE,,,WON,Y
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,BEIROP,ALLIANCE - MIC,SURJAN SINGH,MALE,,,WON,Y
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,ALLIANCE - UMNO,ABDUL MAJID BIN ARIFFIN,MALE,,238,WON,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,ALLIANCE - UMNO,YANG ABDUL RASHID,MALE,,217,WON,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,ALLIANCE - MIC,EVA JENNY MANGALAMONI JOTHI,FEMALE,34,216,WON,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,INDEPENDENT,TAN BOON JIN,MALE,,194,LOST,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,TOTAL REJECTED BALLOT PAPERS,,,11,,
TANJONG MALIM TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,TOTAL ELECTORS,,,413,,
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,ALLIANCE - UMNO,ISMAIL BIN ALI,MALE,37,,WON,Y
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,ALLIANCE - MIC,ANTHONY MUTHU S/O SAVARIMUTHU,MALE,53,,WON,Y
TAPAH TOWN COUNCIL,ANNUAL ELECTION,STATION ROAD,ALLIANCE - MCA,HOR SENG,MALE,55,,WON,Y
