LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH NORTH WARD,ALLIANCE - MCA,TAN MENG CHUA @ TAN KI CHEN,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH NORTH WARD,ALLIANCE - MCA,NGAU KEN LOCK,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH NORTH WARD,ALLIANCE - MCA,GOH ANN,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,OMAR BIN ISMAIL,MALE,,124,WON,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,ARSHAD BIN HAJI HASSAN,MALE,,118,WON,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,HASSAN BIN OMAR,MALE,,118,WON,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,INDEPENDENT,SALLEH BIN TAIS,MALE,,71,LOST,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,INDEPENDENT,WONG PEKAN,,,35,LOST,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,,TOTAL REJECTED BALLOT PAPERS,,,4,,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,,TOTAL ELECTORS,,,219,,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,ALLIANCE - UMNO,MOHD. TAIB BIN NIK,MALE,,269,WON,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,ALLIANCE - MCA,TAN HEE TONG,MALE,42,256,WON,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,ALLIANCE - MCA,NG KIM KEE,MALE,,252,WON,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,INDEPENDENT,TAN HEE THONG,MALE,22,88,LOST,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,,TOTAL REJECTED BALLOT PAPERS,,,3,,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,,TOTAL ELECTORS,,,495,,
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB SOUTH WARD,ALLIANCE - MIC,GURMUKH SINGH,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB SOUTH WARD,ALLIANCE - MCA,YOONG SZE LEONG,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB SOUTH WARD,ALLIANCE - UMNO,MOHD. SAID BIN SINGAH,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,BENTONG TOWN WARD,ALLIANCE - UMNO,CHIK BIN MATTIN,MALE,,,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,BENTONG TOWN WARD,INDEPENDENT,NG SEH HING,MALE,,,LOST,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - MIC,A. RAJA GOPAL,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,ALLIANCE - UMNO,ABU BAKAR BIN BAGINDA BESAR,MALE,,364,WON,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,INDEPENDENT,CHOONG SOO CHYE,MALE,,51,LOST DEPOSIT,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,,TOTAL REJECTED BALLOT PAPERS,,,3,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG REPAS WARD,,TOTAL ELECTORS,,,627,,
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING KEMANSUR WARD,ALLIANCE - MCA,CHOW TEK NOE,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TANAH PUTEH WARD,ALLIANCE - UMNO,ABDUL AZIZ BIN AHMAD,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,ALLIANCE - MCA,TAN KAY SIANG,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TELOK SISEK WARD,ALLIANCE - UMNO,CHE' MAHMUD BIN ALI,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,R.A.G.M. WARD,ALLIANCE - UMNO,CHE ISMAIL BIN SULAIMAN,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,TANJONG GADONG WARD,ALLIANCE - MCA,CHUA YONG GUAN,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,SEMPALIT WARD,ALLIANCE - MIC,M. MARIMUTHU,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,ALLIANCE - MIC,MUTHUKRISHNAN GOVINDASAMY,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH NORTH WARD,ALLIANCE - MCA,NGAU KEN LOCK,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,CHE HASSAN BIN OMAR,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB NORTH WARD,ALLIANCE - MCA,NG KIM KEE,MALE,,,WON,Y
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,ANNUAL ELECTION,MENTEKAB SOUTH WARD,ALLIANCE - MIC,GURMUKH SINGH,MALE,,,WON,Y
