LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,PEKAN LAMA,ALLIANCE - UMNO,MANSOR BIN ABDULLAH,MALE,,,WON,Y
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,PEKAN LAMA,ALLIANCE - MCA,CHONG FOO KHIN,MALE,,,WON,Y
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,PEKAN LAMA,ALLIANCE - UMNO,MAAROF BIN ALI,MALE,,,WON,Y
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,ALLIANCE - MCA,LEE GEOK SWEE,MALE,,470,WON,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,ALLIANCE - UMNO,YAHAYA BIN AHMAD,MALE,,452,WON,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,ALLIANCE - MIC,JAYANTHILAL S/O MOHANLAL,MALE,,445,WON,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,LABOUR,PIR MUHAMMAD,MALE,,174,LOST,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,,TOTAL REJECTED BALLOT PAPERS,,,14,,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,BUKIT TEMENSU,,TOTAL ELECTORS,,,660,,
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,ALLIANCE - MCA,HO HONG YEOW,MALE,42,,WON,Y
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,ALLIANCE - UMNO,ABDUL KADIR BIN ABDULLAH,MALE,,,WON,Y
TOWN COUNCIL OF KUALA PILAH,ANNUAL ELECTION,KAMPONG DIOH,ALLIANCE - MCA,CHAN CHUN YING,MALE,,,WON,Y
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,ALLIANCE - MCA,WONG YUEN CHING @ WONG LEI MING,MALE,,,WON,Y
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,LABOUR,KAT FYE HIN,MALE,,784,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,ALLIANCE - MIC,S. AMIR SINGH GILL,MALE,,352,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL REJECTED BALLOT PAPERS,,,19,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL ELECTORS,,,1706,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,LABOUR,ROBERT SINGAM,MALE,,724,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,LABOUR,LAM TECK CHOON,MALE,,647,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,ALLIANCE - MCA,BENSON LIM HENG KEIN,MALE,,469,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,ALLIANCE - MIC,GOVINDAN SUPPIAH,MALE,,369,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL REJECTED BALLOT PAPERS,,,15,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL ELECTORS,,,1761,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,ALLIANCE - MCA,CHIN SEE YIN,MALE,,,WON,Y
