LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SIX POINTED STAR,D.R. SEENIVASAGAM
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SAILING BOAT,MOHD. YUNAN BIN ABDULLAH SANI
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,,ABDUL AZIZ BIN HAJI MOHAMED JABBAR
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,,WAH KENG JOOI
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,,SAW BENG KUAN
KUALA KANGSAR TOWN COUNCIL,IDRIS,,,THANGAVELOO S/O KANNUSAMY
KUALA KANGSAR TOWN COUNCIL,KANGSAR,,,CHUAH CHONG SHIK @ CHUAH CHONG SEK
KUALA KANGSAR TOWN COUNCIL,KENAS,,,MOHAMED NOORDIN BIN MOHAMED SHARIFF
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SIX POINTED STAR,D.R. SEENIVASAGAM
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SAILING BOAT,YEOH KIAN TEIK
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,SIX POINTED STAR,TOH SEANG ENG
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,SAILING BOAT,A.K.S. MANIAM
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,TIGER,CHEONG PAK KEEN
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,SAILING BOAT,CHEW PENG LOON
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,SAILING BOAT,MOHD. YUNAN BIN ABDULLAH SANI
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,SIX POINTED STAR,CHOY KOK KUAN
TAIPING TOWN COUNCIL,KLIAN PAU,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,SABA RATNAM S/O SELLAR
TAIPING TOWN COUNCIL,KLIAN PAU,,SAILING BOAT,NG PI CA
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,SAILING BOAT,HWANG YUNG CHIH
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,SAILING BOAT,MOHAMED NOOR BIN MOHAMMED
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,LIM CHYE GUAN
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,SAILING BOAT,NOR RASHID BIN ARIFFIN
TAIPING TOWN COUNCIL,KOTA,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,GOH AH HIN
TAIPING TOWN COUNCIL,KOTA,,SAILING BOAT,OOI CHENG HOE
TANJONG MALIM TOWN COUNCIL,MALACCA,,,CHIN LENG
TANJONG MALIM TOWN COUNCIL,MALACCA,,,MOHD. SHARIFF BIN SUJUD
TANJONG MALIM TOWN COUNCIL,MALACCA,,,TAN CHONG HONG
TANJONG MALIM TOWN COUNCIL,BEIROP,,,LEE SECK FUN
TANJONG MALIM TOWN COUNCIL,BEIROP,,,SULAIMAN BIN HAJI ANUAR
TANJONG MALIM TOWN COUNCIL,BEIROP,,,SURJAN SINGH
TANJONG MALIM TOWN COUNCIL,IDRIS,,SAILING BOAT,ABDUL MAJID BIN ARIFFIN
TANJONG MALIM TOWN COUNCIL,IDRIS,,SAILING BOAT,YANG ABDUL RASHID
TANJONG MALIM TOWN COUNCIL,IDRIS,,SAILING BOAT,EVA JENNY MANGALAMONI JOTHI
TANJONG MALIM TOWN COUNCIL,IDRIS,,SCALE,TAN BOON JIN
TAPAH TOWN COUNCIL,STATION ROAD,,,ISMAIL BIN ALI
TAPAH TOWN COUNCIL,STATION ROAD,,,ANTHONY MUTHU S/O SAVARIMUTHU
TAPAH TOWN COUNCIL,STATION ROAD,,,HOR SENG
TAPAH TOWN COUNCIL,KAMPONG DATOH,,,ANWAR BIN HAJI ABU BAKAR
TAPAH TOWN COUNCIL,KAMPONG DATOH,,,HARUN BIN MAT DAAI
TAPAH TOWN COUNCIL,KAMPONG DATOH,,,NG ENG HOE
TAPAH TOWN COUNCIL,TEMOH ROAD,,,PONNUSAMY PILLAI S/O VYAYAPURI PILLAI
TAPAH TOWN COUNCIL,TEMOH ROAD,,,TAMBY BIN BUYONG
TAPAH TOWN COUNCIL,TEMOH ROAD,,,THUM YENG YONG
