LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF KUALA PILAH,PEKAN LAMA,ALLIANCE - UMNO,,MANSOR BIN ABDULLAH
TOWN COUNCIL OF KUALA PILAH,PEKAN LAMA,ALLIANCE - MCA,,CHONG FOO KHIN
TOWN COUNCIL OF KUALA PILAH,PEKAN LAMA,ALLIANCE - UMNO,,MAAROF BIN ALI
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,ALLIANCE - MIC,VIOLIN,JAYANTHILAL S/O MOHANLAL
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,ALLIANCE - MCA,SAW,LEE GEOK SWEE
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,LABOUR,TEA POT,PIR MUHAMMAD
TOWN COUNCIL OF KUALA PILAH,BUKIT TEMENSU,ALLIANCE - UMNO,UMBRELLA,YAHAYA BIN AHMAD
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,ALLIANCE - MCA,,HO HONG YEOW
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,ALLIANCE - UMNO,,ABDUL KADIR BIN ABDULLAH
TOWN COUNCIL OF KUALA PILAH,KAMPONG DIOH,ALLIANCE - MCA,,CHAN CHUN YING
TOWN COUNCIL OF SEREMBAN,LAKE,ALLIANCE - MCA,,WONG YUEN CHING @ WONG LEI MING
TOWN COUNCIL OF SEREMBAN,LOBAK,LABOUR,CHANGKOL,KAT FYE HIN
TOWN COUNCIL OF SEREMBAN,LOBAK,ALLIANCE - MIC,KEY,S. AMIR SINGH GILL
TOWN COUNCIL OF SEREMBAN,RAHANG,ALLIANCE - MCA,MOTOR CYCLE,BENSON LIM HENG KEIN
TOWN COUNCIL OF SEREMBAN,RAHANG,ALLIANCE - MIC,PERAMBULATOR,GOVINDAN SUPPIAH
TOWN COUNCIL OF SEREMBAN,RAHANG,LABOUR,RADIO,LAM TECK CHOON
TOWN COUNCIL OF SEREMBAN,RAHANG,LABOUR,SAW,ROBERT SINGAM
TOWN COUNCIL OF SEREMBAN,TEMIANG,ALLIANCE - MCA,,CHIN SEE YIN
