LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
KLANG TOWN COUNCIL,KLANG NORTH,ALLIANCE,,KOH LIANG SIH
KLANG TOWN COUNCIL,KLANG SOUTH,ALLIANCE,,CHEONG JIN HOE
KLANG TOWN COUNCIL,PORT SWETTENHAM,ALLIANCE,,NG SOON HUAT
MUNICIPALITY OF KUALA LUMPUR,SENTUL,ALLIANCE,,ABDULLAH BIN HAJI MOHD. YASSIN
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,LABOUR,PLATE,V. DAVID
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,ALLIANCE - MIC,STEAMER,GURDIAL SINGH
MUNICIPALITY OF KUALA LUMPUR,IMBI,ALLIANCE - MCA,,CHEAH THEAM SWEE
MUNICIPALITY OF KUALA LUMPUR,PETALING,ALLIANCE - MCA,,LIM JEW SIANG
