LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - MIC,PERUMAL (A.V.),MALE,,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,ALLIANCE - UMNO,ADNAN BIN ABDUL SAMAD,MALE,,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - UMNO,CHE SOM BINTI ABDULLAH,FEMALE,30,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,MOHAMED ISMAIL BIN HAJI ABDULLAH,MALE,,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,ELIZABETH MARY NG NGOOT SAM,FEMALE,,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,IBRAHIM ALI BIN RAWTHER NAINA,MALE,,,WON,Y
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - UMNO,AHMAD SHAM BIN HAJI YUNUS,MALE,,804,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - MCA,WONG KOK SEE,,,753,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,NAP,LEONG AH KOW,MALE,,202,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL REJECTED BALLOT PAPERS,,,11,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1058,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,1992,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,3050,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL ELECTORS,,,2978,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,ALLIANCE - MCA,LIEW WHY HONE,,,870,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,NAP,LEAN CHOR KOW,,,215,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL REJECTED BALLOT PAPERS,,,9,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1094,,
