LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,2206,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,3300,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL ELECTORS,,,3183,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - UMNO,BAHARUDDIN BIN AIYUB,MALE,,559,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,NAP,CHEONG PAK KEEN,,,315,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL REJECTED BALLOT PAPERS,,,0,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,874,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,876,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1750,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL ELECTORS,,,1684,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - UMNO,MOHAMED ALI BIN PITCHAY,MALE,,774,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,NAP,MOHAMED YUSOF BIN HAJI SAMAD,MALE,,154,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL REJECTED BALLOT PAPERS,,,20,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,948,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,1652,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,2600,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL ELECTORS,,,2476,,
