LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,R.A.G.M. WARD,ALLIANCE - UMNO,HUSSIN BIN JALI,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,R.A.G.M. WARD,ALLIANCE - MCA,TI CHENG KIEN,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,R.A.G.M. WARD,ALLIANCE - UMNO,BUYONG BIN SALAS,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,TANJONG GADONG WARD,ALLIANCE - MCA,CHUA YONG GUAN,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,TANJONG GADONG WARD,ALLIANCE - UMNO,MOHD. ARIFFIN BIN LUDIN,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,TANJONG GADONG WARD,ALLIANCE - MCA,SAW SIM HOCK,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,SEMPALIT WARD,ALLIANCE - MIC,M. MARIMUTHU,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,SEMPALIT WARD,ALLIANCE - MCA,TAN LIEW THONG,MALE,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,SEMPALIT WARD,ALLIANCE - MCA,CHEONG HOY CHENG,,,,WON,Y
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,ALLIANCE - MCA,TI CHENG KENG,MALE,,462,WON,
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,ALLIANCE - MIC,MUTHUKRISHNAN GOVINDASAMY,MALE,,449,WON,
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,ALLIANCE - UMNO,ABD. LATIF BIN HJ. ISMAIL,MALE,,445,WON,
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,INDEPENDENT,GOH TENG KOON,MALE,,142,LOST,
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,INDEPENDENT,TAN CHING TIN,MALE,,71,LOST,
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,,TOTAL REJECTED BALLOT PAPERS,,,12,,
TOWN COUNCIL OF RAUB,ANNUAL ELECTION,RAUB TOWN WARD,,TOTAL ELECTORS,,,750,,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TANAH PUTEH WARD,ALLIANCE - MCA,WONG KWAN TAN,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,ALLIANCE - UMNO,CHE MAHIMON BINTI HARUN,FEMALE,34,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,ALLIANCE - MCA,LIM CHIN HUI,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TELOK SISEK WARD,,ABDUL RAHMAN BIN HASSAN,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,BENTONG TOWN WARD,ALLIANCE - MCA,CHOW SENG TOONG,,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,BENTONG TOWN WARD,ALLIANCE - MCA,CHIN YOOK TOONG,,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,BENTONG TOWN WARD,ALLIANCE - MCA,NG SEH HING,,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - UMNO,ABU BAKAR BIN BAGINDA BESAR,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - UMNO,HAJI JAMIL BIN HAJI LARIS,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,KETARI WARD,ALLIANCE - UMNO,MUHAMMAD BIN ARSHAD,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG/REPAS WARD,ALLIANCE - MCA,CHUI SIEW TUIN,,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG/REPAS WARD,ALLIANCE - UMNO,BASIR BIN MAT,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,CHAMANG/REPAS WARD,ALLIANCE - UMNO,AWANG BIN TO' MUDA MAT ZAIN,MALE,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING/KEMANSUR WARD,ALLIANCE - MCA,CHOW TEK NOE,,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING/KEMANSUR WARD,ALLIANCE - MCA,LEOW LIEW MIN,,,,WON,Y
TOWN COUNCIL OF BENTONG,ANNUAL ELECTION,PERTING/KEMANSUR WARD,ALLIANCE - MCA,TOH WAI THENG,,,,WON,Y
