LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,,PERUMAL (A.V.)
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,,ADNAN BIN ABDUL SAMAD
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,,CHE SOM BINTI ABDULLAH
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,,MOHAMED ISMAIL BIN HAJI ABDULLAH
TAIPING TOWN COUNCIL,KOTA,,,ELIZABETH MARY NG NGOOT SAM
TAIPING TOWN COUNCIL,KLIAN PAU,,,IBRAHIM ALI BIN RAWTHER NAINA
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,HOUSE,AHMAD SHAM BIN HAJI YUNUS
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,KEY,WONG KOK SEE
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,FLOWER,LEONG AH KOW
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,FOWL,LIEW WHY HONE
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,BICYCLE,LEAN CHOR KOW
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,ELEPHANT,BAHARUDDIN BIN AIYUB
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,UMBRELLA,CHEONG PAK KEEN
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,TEA CUP,MOHAMED ALI BIN PITCHAY
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,SAW,MOHAMED YUSOF BIN HAJI SAMAD
