LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,ALLIANCE - MCA,HAN HIU FONG,MALE,,538,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,PARTI NEGARA,OSMAN BIN HAJI UJANG,MALE,,54,LOST DEPOSIT,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL REJECTED BALLOT PAPERS,,,4,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,,TOTAL ELECTORS,,,1171,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,LABOUR,CHEAH YEN KWEE,MALE,,455,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,ALLIANCE - MCA,ONG AH SAI,MALE,,451,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL REJECTED BALLOT PAPERS,,,19,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL ELECTORS,,,1409,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,INDEPENDENT,STANLEY PONNIAH,MALE,,546,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,LABOUR,SULAIMAN BIN SAIR ALI KHAN,MALE,,342,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL REJECTED BALLOT PAPERS,,,12,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL ELECTORS,,,1488,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,ALLIANCE - UMNO,JAMALUDIN BIN AJI,MALE,,410,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,LABOUR,CHIA FOOK CHAN,,,207,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL REJECTED BALLOT PAPERS,,,11,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL ELECTORS,,,1115,,
